lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000031,Household is deprived in three dimensions,19
E09000002,Barking and Dagenham,E01000031,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000032,Household is not deprived in any dimension,274
E09000002,Barking and Dagenham,E01000032,Household is deprived in one dimension,277
E09000002,Barking and Dagenham,E01000032,Household is deprived in two dimensions,138
E09000002,Barking and Dagenham,E01000032,Household is deprived in three dimensions,32
E09000002,Barking and Dagenham,E01000032,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000033,Household is not deprived in any dimension,180
E09000002,Barking and Dagenham,E01000033,Household is deprived in one dimension,194
E09000002,Barking and Dagenham,E01000033,Household is deprived in two dimensions,125
E09000002,Barking and Dagenham,E01000033,Household is deprived in three dimensions,52
E09000002,Barking and Dagenham,E01000033,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000034,Household is not deprived in any dimension,177
E09000002,Barking and Dagenham,E01000034,Household is deprived in one dimension,187
E09000002,Barking and Dagenham,E01000034,Household is deprived in two dimensions,108
E09000002,Barking and Dagenham,E01000034,Household is deprived in three dimensions,40
E09000002,Barking and Dagenham,E01000034,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000035,Household is not deprived in any dimension,222
E09000002,Barking and Dagenham,E01000035,Household is deprived in one dimension,234
E09000002,Barking and Dagenham,E01000035,Household is deprived in two dimensions,113
E09000002,Barking and Dagenham,E01000035,Household is deprived in three dimensions,23
E09000002,Barking and Dagenham,E01000035,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000036,Household is not deprived in any dimension,191
E09000002,Barking and Dagenham,E01000036,Household is deprived in one dimension,182
E09000002,Barking and Dagenham,E01000036,Household is deprived in two dimensions,81
E09000002,Barking and Dagenham,E01000036,Household is deprived in three dimensions,15
E09000002,Barking and Dagenham,E01000036,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000037,Household is not deprived in any dimension,296
E09000002,Barking and Dagenham,E01000037,Household is deprived in one dimension,216
E09000002,Barking and Dagenham,E01000037,Household is deprived in two dimensions,61
E09000002,Barking and Dagenham,E01000037,Household is deprived in three dimensions,16
E09000002,Barking and Dagenham,E01000037,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000038,Household is not deprived in any dimension,228
E09000002,Barking and Dagenham,E01000038,Household is deprived in one dimension,227
E09000002,Barking and Dagenham,E01000038,Household is deprived in two dimensions,91
E09000002,Barking and Dagenham,E01000038,Household is deprived in three dimensions,19
E09000002,Barking and Dagenham,E01000038,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000039,Household is not deprived in any dimension,312
E09000002,Barking and Dagenham,E01000039,Household is deprived in one dimension,202
E09000002,Barking and Dagenham,E01000039,Household is deprived in two dimensions,101
E09000002,Barking and Dagenham,E01000039,Household is deprived in three dimensions,26
E09000002,Barking and Dagenham,E01000039,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000040,Household is not deprived in any dimension,199
E09000002,Barking and Dagenham,E01000040,Household is deprived in one dimension,267
E09000002,Barking and Dagenham,E01000040,Household is deprived in two dimensions,145
E09000002,Barking and Dagenham,E01000040,Household is deprived in three dimensions,46
E09000002,Barking and Dagenham,E01000040,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000041,Household is not deprived in any dimension,203
E09000002,Barking and Dagenham,E01000041,Household is deprived in one dimension,252
E09000002,Barking and Dagenham,E01000041,Household is deprived in two dimensions,121
E09000002,Barking and Dagenham,E01000041,Household is deprived in three dimensions,22
E09000002,Barking and Dagenham,E01000041,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000042,Household is not deprived in any dimension,200
E09000002,Barking and Dagenham,E01000042,Household is deprived in one dimension,251
E09000002,Barking and Dagenham,E01000042,Household is deprived in two dimensions,136
E09000002,Barking and Dagenham,E01000042,Household is deprived in three dimensions,62
E09000002,Barking and Dagenham,E01000042,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000043,Household is not deprived in any dimension,161
E09000002,Barking and Dagenham,E01000043,Household is deprived in one dimension,190
E09000002,Barking and Dagenham,E01000043,Household is deprived in two dimensions,101
E09000002,Barking and Dagenham,E01000043,Household is deprived in three dimensions,21
E09000002,Barking and Dagenham,E01000043,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000044,Household is not deprived in any dimension,245
E09000002,Barking and Dagenham,E01000044,Household is deprived in one dimension,243
E09000002,Barking and Dagenham,E01000044,Household is deprived in two dimensions,112
E09000002,Barking and Dagenham,E01000044,Household is deprived in three dimensions,54
E09000002,Barking and Dagenham,E01000044,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000045,Household is not deprived in any dimension,194
E09000002,Barking and Dagenham,E01000045,Household is deprived in one dimension,221
E09000002,Barking and Dagenham,E01000045,Household is deprived in two dimensions,124
E09000002,Barking and Dagenham,E01000045,Household is deprived in three dimensions,35
E09000002,Barking and Dagenham,E01000045,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000046,Household is not deprived in any dimension,243
