lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000024,"2 years or more, but less than 5 years",51
E09000002,Barking and Dagenham,E01000024,Less than 2 years,56
E09000002,Barking and Dagenham,E01000025,Born in the UK,1177
E09000002,Barking and Dagenham,E01000025,10 years or more,488
E09000002,Barking and Dagenham,E01000025,"5 years or more, but less than 10 years",141
E09000002,Barking and Dagenham,E01000025,"2 years or more, but less than 5 years",64
E09000002,Barking and Dagenham,E01000025,Less than 2 years,54
E09000002,Barking and Dagenham,E01000027,Born in the UK,1494
E09000002,Barking and Dagenham,E01000027,10 years or more,369
E09000002,Barking and Dagenham,E01000027,"5 years or more, but less than 10 years",120
E09000002,Barking and Dagenham,E01000027,"2 years or more, but less than 5 years",62
E09000002,Barking and Dagenham,E01000027,Less than 2 years,33
E09000002,Barking and Dagenham,E01000028,Born in the UK,1068
E09000002,Barking and Dagenham,E01000028,10 years or more,533
E09000002,Barking and Dagenham,E01000028,"5 years or more, but less than 10 years",101
E09000002,Barking and Dagenham,E01000028,"2 years or more, but less than 5 years",67
E09000002,Barking and Dagenham,E01000028,Less than 2 years,49
E09000002,Barking and Dagenham,E01000029,Born in the UK,1070
E09000002,Barking and Dagenham,E01000029,10 years or more,531
E09000002,Barking and Dagenham,E01000029,"5 years or more, but less than 10 years",117
E09000002,Barking and Dagenham,E01000029,"2 years or more, but less than 5 years",54
E09000002,Barking and Dagenham,E01000029,Less than 2 years,47
E09000002,Barking and Dagenham,E01000030,Born in the UK,1728
E09000002,Barking and Dagenham,E01000030,10 years or more,592
E09000002,Barking and Dagenham,E01000030,"5 years or more, but less than 10 years",131
E09000002,Barking and Dagenham,E01000030,"2 years or more, but less than 5 years",61
E09000002,Barking and Dagenham,E01000030,Less than 2 years,50
E09000002,Barking and Dagenham,E01000031,Born in the UK,1094
E09000002,Barking and Dagenham,E01000031,10 years or more,468
E09000002,Barking and Dagenham,E01000031,"5 years or more, but less than 10 years",100
E09000002,Barking and Dagenham,E01000031,"2 years or more, but less than 5 years",56
E09000002,Barking and Dagenham,E01000031,Less than 2 years,53
E09000002,Barking and Dagenham,E01000032,Born in the UK,1252
E09000002,Barking and Dagenham,E01000032,10 years or more,478
E09000002,Barking and Dagenham,E01000032,"5 years or more, but less than 10 years",185
E09000002,Barking and Dagenham,E01000032,"2 years or more, but less than 5 years",112
E09000002,Barking and Dagenham,E01000032,Less than 2 years,51
E09000002,Barking and Dagenham,E01000033,Born in the UK,1110
E09000002,Barking and Dagenham,E01000033,10 years or more,287
E09000002,Barking and Dagenham,E01000033,"5 years or more, but less than 10 years",55
E09000002,Barking and Dagenham,E01000033,"2 years or more, but less than 5 years",64
E09000002,Barking and Dagenham,E01000033,Less than 2 years,29
E09000002,Barking and Dagenham,E01000034,Born in the UK,1104
E09000002,Barking and Dagenham,E01000034,10 years or more,322
E09000002,Barking and Dagenham,E01000034,"5 years or more, but less than 10 years",93
E09000002,Barking and Dagenham,E01000034,"2 years or more, but less than 5 years",24
E09000002,Barking and Dagenham,E01000034,Less than 2 years,28
E09000002,Barking and Dagenham,E01000035,Born in the UK,1127
E09000002,Barking and Dagenham,E01000035,10 years or more,438
E09000002,Barking and Dagenham,E01000035,"5 years or more, but less than 10 years",137
E09000002,Barking and Dagenham,E01000035,"2 years or more, but less than 5 years",95
E09000002,Barking and Dagenham,E01000035,Less than 2 years,59
E09000002,Barking and Dagenham,E01000036,Born in the UK,807
E09000002,Barking and Dagenham,E01000036,10 years or more,412
E09000002,Barking and Dagenham,E01000036,"5 years or more, but less than 10 years",109
E09000002,Barking and Dagenham,E01000036,"2 years or more, but less than 5 years",75
E09000002,Barking and Dagenham,E01000036,Less than 2 years,69
E09000002,Barking and Dagenham,E01000037,Born in the UK,1245
E09000002,Barking and Dagenham,E01000037,10 years or more,270
E09000002,Barking and Dagenham,E01000037,"5 years or more, but less than 10 years",100
E09000002,Barking and Dagenham,E01000037,"2 years or more, but less than 5 years",52
E09000002,Barking and Dagenham,E01000037,Less than 2 years,33
E09000002,Barking and Dagenham,E01000038,Born in the UK,1165
E09000002,Barking and Dagenham,E01000038,10 years or more,297
E09000002,Barking and Dagenham,E01000038,"5 years or more, but less than 10 years",84
E09000002,Barking and Dagenham,E01000038,"2 years or more, but less than 5 years",39
E09000002,Barking and Dagenham,E01000038,Less than 2 years,27
E09000002,Barking and Dagenham,E01000039,Born in the UK,1239
E09000002,Barking and Dagenham,E01000039,10 years or more,309
E09000002,Barking and Dagenham,E01000039,"5 years or more, but less than 10 years",104
E09000002,Barking and Dagenham,E01000039,"2 years or more, but less than 5 years",66
E09000002,Barking and Dagenham,E01000039,Less than 2 years,28
E09000002,Barking and Dagenham,E01000040,Born in the UK,1036
E09000002,Barking and Dagenham,E01000040,10 years or more,453
E09000002,Barking and Dagenham,E01000040,"5 years or more, but less than 10 years",159
E09000002,Barking and Dagenham,E01000040,"2 years or more, but less than 5 years",129
E09000002,Barking and Dagenham,E01000040,Less than 2 years,104
E09000002,Barking and Dagenham,E01000041,Born in the UK,1117
E09000002,Barking and Dagenham,E01000041,10 years or more,425
E09000002,Barking and Dagenham,E01000041,"5 years or more, but less than 10 years",151
E09000002,Barking and Dagenham,E01000041,"2 years or more, but less than 5 years",90
E09000002,Barking and Dagenham,E01000041,Less than 2 years,55
E09000002,Barking and Dagenham,E01000042,Born in the UK,1125
E09000002,Barking and Dagenham,E01000042,10 years or more,448
E09000002,Barking and Dagenham,E01000042,"5 years or more, but less than 10 years",154
E09000002,Barking and Dagenham,E01000042,"2 years or more, but less than 5 years",89
E09000002,Barking and Dagenham,E01000042,Less than 2 years,63
E09000002,Barking and Dagenham,E01000043,Born in the UK,896
E09000002,Barking and Dagenham,E01000043,10 years or more,423
E09000002,Barking and Dagenham,E01000043,"5 years or more, but less than 10 years",121
E09000002,Barking and Dagenham,E01000043,"2 years or more, but less than 5 years",56
E09000002,Barking and Dagenham,E01000043,Less than 2 years,46
E09000002,Barking and Dagenham,E01000044,Born in the UK,917
E09000002,Barking and Dagenham,E01000044,10 years or more,581
E09000002,Barking and Dagenham,E01000044,"5 years or more, but less than 10 years",225
E09000002,Barking and Dagenham,E01000044,"2 years or more, but less than 5 years",178
E09000002,Barking and Dagenham,E01000044,Less than 2 years,91
E09000002,Barking and Dagenham,E01000045,Born in the UK,1030
E09000002,Barking and Dagenham,E01000045,10 years or more,407
E09000002,Barking and Dagenham,E01000045,"5 years or more, but less than 10 years",154
E09000002,Barking and Dagenham,E01000045,"2 years or more, but less than 5 years",79
E09000002,Barking and Dagenham,E01000045,Less than 2 years,55
E09000002,Barking and Dagenham,E01000046,Born in the UK,1211
E09000002,Barking and Dagenham,E01000046,10 years or more,449
E09000002,Barking and Dagenham,E01000046,"5 years or more, but less than 10 years",190
E09000002,Barking and Dagenham,E01000046,"2 years or more, but less than 5 years",76
E09000002,Barking and Dagenham,E01000046,Less than 2 years,32
E09000002,Barking and Dagenham,E01000049,Born in the UK,1072
