lad22cd,lad22nm,category,count_21
E09000017,Hillingdon,Living in a same-sex couple: Cohabiting,1082
E09000017,Hillingdon,Not living in a couple: Single (never married and never registered a same-sex civil partnership),68684
E09000017,Hillingdon,Not living in a couple: Married or in a registered civil partnership,7293
E09000017,Hillingdon,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),4105
E09000017,Hillingdon,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,13641
E09000017,Hillingdon,Not living in a couple: Widowed or surviving partner from a civil partnership,11540
E09000018,Hounslow,Living in an opposite-sex couple: Married or in a civil partnership,96190
E09000018,Hounslow,Living in a same-sex couple: Married or in a civil partnership,758
E09000018,Hounslow,"Living in a couple: Separated, but still married or in a civil partnership",346
E09000018,Hounslow,Living in an opposite-sex couple: Cohabiting,20112
E09000018,Hounslow,Living in a same-sex couple: Cohabiting,1507
E09000018,Hounslow,Not living in a couple: Single (never married and never registered a same-sex civil partnership),70020
E09000018,Hounslow,Not living in a couple: Married or in a registered civil partnership,9817
E09000018,Hounslow,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),4667
E09000018,Hounslow,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,13744
E09000018,Hounslow,Not living in a couple: Widowed or surviving partner from a civil partnership,9796
E09000019,Islington,Living in an opposite-sex couple: Married or in a civil partnership,41882
E09000019,Islington,Living in a same-sex couple: Married or in a civil partnership,1704
E09000019,Islington,"Living in a couple: Separated, but still married or in a civil partnership",198
E09000019,Islington,Living in an opposite-sex couple: Cohabiting,28673
E09000019,Islington,Living in a same-sex couple: Cohabiting,2752
E09000019,Islington,Not living in a couple: Single (never married and never registered a same-sex civil partnership),80906
E09000019,Islington,Not living in a couple: Married or in a registered civil partnership,2963
E09000019,Islington,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),3519
E09000019,Islington,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,10665
E09000019,Islington,Not living in a couple: Widowed or surviving partner from a civil partnership,5111
E09000020,Kensington and Chelsea,Living in an opposite-sex couple: Married or in a civil partnership,38266
E09000020,Kensington and Chelsea,Living in a same-sex couple: Married or in a civil partnership,798
E09000020,Kensington and Chelsea,"Living in a couple: Separated, but still married or in a civil partnership",148
E09000020,Kensington and Chelsea,Living in an opposite-sex couple: Cohabiting,11408
E09000020,Kensington and Chelsea,Living in a same-sex couple: Cohabiting,1053
E09000020,Kensington and Chelsea,Not living in a couple: Single (never married and never registered a same-sex civil partnership),48993
E09000020,Kensington and Chelsea,Not living in a couple: Married or in a registered civil partnership,4137
E09000020,Kensington and Chelsea,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),2394
E09000020,Kensington and Chelsea,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,9148
E09000020,Kensington and Chelsea,Not living in a couple: Widowed or surviving partner from a civil partnership,4463
E09000021,Kingston upon Thames,Living in an opposite-sex couple: Married or in a civil partnership,60173
E09000021,Kingston upon Thames,Living in a same-sex couple: Married or in a civil partnership,532
E09000021,Kingston upon Thames,"Living in a couple: Separated, but still married or in a civil partnership",176
E09000021,Kingston upon Thames,Living in an opposite-sex couple: Cohabiting,15577
E09000021,Kingston upon Thames,Living in a same-sex couple: Cohabiting,854
E09000021,Kingston upon Thames,Not living in a couple: Single (never married and never registered a same-sex civil partnership),37299
E09000021,Kingston upon Thames,Not living in a couple: Married or in a registered civil partnership,2368
E09000021,Kingston upon Thames,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),2030
E09000021,Kingston upon Thames,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,7537
