lad22cd,lad22nm,category,count_21
E09000017,Hillingdon,Europe: Other Europe: EU Member countries: Germany,1394
E09000017,Hillingdon,Europe: Other Europe: EU Member countries: Italy,2813
E09000017,Hillingdon,Europe: Other Europe: EU Member countries: Portugal,5474
E09000017,Hillingdon,Europe: Other Europe: EU Member countries: Spain,1172
E09000017,Hillingdon,Europe: Other Europe: EU Member countries: Lithuania,1267
E09000017,Hillingdon,Europe: Other Europe: EU Member countries: Poland,6397
E09000017,Hillingdon,Europe: Other Europe: EU Member countries: Romania,6382
E09000017,Hillingdon,Europe: Other Europe: EU Member countries: Other EU countries,6757
E09000017,Hillingdon,Europe: Other Europe: Rest of Europe: Turkey,285
E09000017,Hillingdon,Europe: Other Europe: Rest of Europe: Other Europe,1310
E09000017,Hillingdon,Africa: North Africa,432
E09000017,Hillingdon,Africa: Central and Western Africa: Ghana,267
E09000017,Hillingdon,Africa: Central and Western Africa: Nigeria,506
E09000017,Hillingdon,Africa: Central and Western Africa: Other Central and Western Africa,143
E09000017,Hillingdon,Africa: South and Eastern Africa: Kenya,186
E09000017,Hillingdon,Africa: South and Eastern Africa: Somalia,69
E09000017,Hillingdon,Africa: South and Eastern Africa: South Africa,223
E09000017,Hillingdon,Africa: South and Eastern Africa: Zimbabwe,155
E09000017,Hillingdon,Africa: South and Eastern Africa: Other South and Eastern Africa,511
E09000017,Hillingdon,Middle East and Asia: Middle East: Iran,145
E09000017,Hillingdon,Middle East and Asia: Middle East: Iraq,88
E09000017,Hillingdon,Middle East and Asia: Middle East: Other Middle East,375
E09000017,Hillingdon,Middle East and Asia: Eastern Asia: China,653
E09000017,Hillingdon,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),128
E09000017,Hillingdon,Middle East and Asia: Eastern Asia: Japan,170
E09000017,Hillingdon,Middle East and Asia: Eastern Asia: Other Eastern Asia,91
E09000017,Hillingdon,Middle East and Asia: Southern Asia: Afghanistan,706
E09000017,Hillingdon,Middle East and Asia: Southern Asia: Bangladesh,466
E09000017,Hillingdon,Middle East and Asia: Southern Asia: India,11795
E09000017,Hillingdon,Middle East and Asia: Southern Asia: Pakistan,1959
E09000017,Hillingdon,Middle East and Asia: Southern Asia: Sri Lanka,1256
E09000017,Hillingdon,Middle East and Asia: Southern Asia: Other Southern Asia,1165
E09000017,Hillingdon,Middle East and Asia: South-East Asia: Malaysia,291
E09000017,Hillingdon,Middle East and Asia: South-East Asia: Philippines,430
E09000017,Hillingdon,Middle East and Asia: South-East Asia: Singapore,61
E09000017,Hillingdon,Middle East and Asia: South-East Asia: Other South-East Asia,233
E09000017,Hillingdon,Middle East and Asia: Central Asia,61
E09000017,Hillingdon,The Americas and the Caribbean: North America: Canada,242
E09000017,Hillingdon,The Americas and the Caribbean: North America: United States,526
E09000017,Hillingdon,The Americas and the Caribbean: Central America,48
E09000017,Hillingdon,The Americas and the Caribbean: South America,542
E09000017,Hillingdon,The Americas and the Caribbean: The Caribbean: Jamaica,242
E09000017,Hillingdon,The Americas and the Caribbean: The Caribbean: Other Caribbean,193
E09000017,Hillingdon,Antarctica and Oceania: Australasia: Australia,209
E09000017,Hillingdon,Antarctica and Oceania: Australasia: New Zealand,103
E09000017,Hillingdon,Antarctica and Oceania: Other Antarctica and Oceania,20
E09000017,Hillingdon,British Overseas Territories,0
E09000017,Hillingdon,No passport held,21482
E09000018,Hounslow,Europe: United Kingdom,186843
E09000018,Hounslow,Europe: Ireland,3196
E09000018,Hounslow,Europe: Other Europe: EU Member countries: France,1715
E09000018,Hounslow,Europe: Other Europe: EU Member countries: Germany,1095
E09000018,Hounslow,Europe: Other Europe: EU Member countries: Italy,3395
E09000018,Hounslow,Europe: Other Europe: EU Member countries: Portugal,10537
E09000018,Hounslow,Europe: Other Europe: EU Member countries: Spain,2059
E09000018,Hounslow,Europe: Other Europe: EU Member countries: Lithuania,1655
E09000018,Hounslow,Europe: Other Europe: EU Member countries: Poland,11223
E09000018,Hounslow,Europe: Other Europe: EU Member countries: Romania,6577
E09000018,Hounslow,Europe: Other Europe: EU Member countries: Other EU countries,8278
E09000018,Hounslow,Europe: Other Europe: Rest of Europe: Turkey,447
E09000018,Hounslow,Europe: Other Europe: Rest of Europe: Other Europe,2064
E09000018,Hounslow,Africa: North Africa,1002
E09000018,Hounslow,Africa: Central and Western Africa: Ghana,344
E09000018,Hounslow,Africa: Central and Western Africa: Nigeria,405
E09000018,Hounslow,Africa: Central and Western Africa: Other Central and Western Africa,156
E09000018,Hounslow,Africa: South and Eastern Africa: Kenya,159
E09000018,Hounslow,Africa: South and Eastern Africa: Somalia,50
E09000018,Hounslow,Africa: South and Eastern Africa: South Africa,251
E09000018,Hounslow,Africa: South and Eastern Africa: Zimbabwe,143
E09000018,Hounslow,Africa: South and Eastern Africa: Other South and Eastern Africa,427
E09000018,Hounslow,Middle East and Asia: Middle East: Iran,213
E09000018,Hounslow,Middle East and Asia: Middle East: Iraq,63
E09000018,Hounslow,Middle East and Asia: Middle East: Other Middle East,417
E09000018,Hounslow,Middle East and Asia: Eastern Asia: China,455
E09000018,Hounslow,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),46
E09000018,Hounslow,Middle East and Asia: Eastern Asia: Japan,327
E09000018,Hounslow,Middle East and Asia: Eastern Asia: Other Eastern Asia,154
E09000018,Hounslow,Middle East and Asia: Southern Asia: Afghanistan,562
E09000018,Hounslow,Middle East and Asia: Southern Asia: Bangladesh,350
E09000018,Hounslow,Middle East and Asia: Southern Asia: India,16027
E09000018,Hounslow,Middle East and Asia: Southern Asia: Pakistan,2053
E09000018,Hounslow,Middle East and Asia: Southern Asia: Sri Lanka,636
E09000018,Hounslow,Middle East and Asia: Southern Asia: Other Southern Asia,2406
E09000018,Hounslow,Middle East and Asia: South-East Asia: Malaysia,252
E09000018,Hounslow,Middle East and Asia: South-East Asia: Philippines,814
E09000018,Hounslow,Middle East and Asia: South-East Asia: Singapore,69
E09000018,Hounslow,Middle East and Asia: South-East Asia: Other South-East Asia,312
E09000018,Hounslow,Middle East and Asia: Central Asia,62
E09000018,Hounslow,The Americas and the Caribbean: North America: Canada,296
E09000018,Hounslow,The Americas and the Caribbean: North America: United States,913
E09000018,Hounslow,The Americas and the Caribbean: Central America,75
E09000018,Hounslow,The Americas and the Caribbean: South America,861
E09000018,Hounslow,The Americas and the Caribbean: The Caribbean: Jamaica,164
E09000018,Hounslow,The Americas and the Caribbean: The Caribbean: Other Caribbean,145
E09000018,Hounslow,Antarctica and Oceania: Australasia: Australia,459
E09000018,Hounslow,Antarctica and Oceania: Australasia: New Zealand,192
E09000018,Hounslow,Antarctica and Oceania: Other Antarctica and Oceania,46
E09000018,Hounslow,British Overseas Territories,1
E09000018,Hounslow,No passport held,17792
E09000019,Islington,Europe: United Kingdom,153742
E09000019,Islington,Europe: Ireland,5092
E09000019,Islington,Europe: Other Europe: EU Member countries: France,4571
E09000019,Islington,Europe: Other Europe: EU Member countries: Germany,1633
E09000019,Islington,Europe: Other Europe: EU Member countries: Italy,5444
E09000019,Islington,Europe: Other Europe: EU Member countries: Portugal,1695
E09000019,Islington,Europe: Other Europe: EU Member countries: Spain,3487
E09000019,Islington,Europe: Other Europe: EU Member countries: Lithuania,427
E09000019,Islington,Europe: Other Europe: EU Member countries: Poland,1583
E09000019,Islington,Europe: Other Europe: EU Member countries: Romania,1049
E09000019,Islington,Europe: Other Europe: EU Member countries: Other EU countries,7387
E09000019,Islington,Europe: Other Europe: Rest of Europe: Turkey,994
E09000019,Islington,Europe: Other Europe: Rest of Europe: Other Europe,1884
E09000019,Islington,Africa: North Africa,466
E09000019,Islington,Africa: Central and Western Africa: Ghana,212
E09000019,Islington,Africa: Central and Western Africa: Nigeria,405
E09000019,Islington,Africa: Central and Western Africa: Other Central and Western Africa,187
E09000019,Islington,Africa: South and Eastern Africa: Kenya,52
E09000019,Islington,Africa: South and Eastern Africa: Somalia,58
E09000019,Islington,Africa: South and Eastern Africa: South Africa,235
E09000019,Islington,Africa: South and Eastern Africa: Zimbabwe,44
E09000019,Islington,Africa: South and Eastern Africa: Other South and Eastern Africa,249
E09000019,Islington,Middle East and Asia: Middle East: Iran,112
E09000019,Islington,Middle East and Asia: Middle East: Iraq,36
E09000019,Islington,Middle East and Asia: Middle East: Other Middle East,339
E09000019,Islington,Middle East and Asia: Eastern Asia: China,1458
