lad22cd,lad22nm,i.lad22nm,category,count_21
E09000007,Camden,Camden,Never married and never registered a civil partnership,99156
E09000007,Camden,Camden,Married: Opposite sex,53662
E09000007,Camden,Camden,Married: Same sex,1003
E09000007,Camden,Camden,In a registered civil partnership: Opposite sex,300
E09000007,Camden,Camden,In a registered civil partnership: Same sex,733
E09000007,Camden,Camden,"Separated, but still married",3879
E09000007,Camden,Camden,"Separated, but still in a registered civil partnership",54
E09000007,Camden,Camden,Divorced,13010
E09000007,Camden,Camden,Formerly in a civil partnership now legally dissolved,114
E09000007,Camden,Camden,Widowed,5959
E09000007,Camden,Camden,Surviving partner from civil partnership,39
E09000008,Croydon,Croydon,Never married and never registered a civil partnership,133181
E09000008,Croydon,Croydon,Married: Opposite sex,127503
E09000008,Croydon,Croydon,Married: Same sex,953
E09000008,Croydon,Croydon,In a registered civil partnership: Opposite sex,279
E09000008,Croydon,Croydon,In a registered civil partnership: Same sex,493
E09000008,Croydon,Croydon,"Separated, but still married",8197
E09000008,Croydon,Croydon,"Separated, but still in a registered civil partnership",45
E09000008,Croydon,Croydon,Divorced,25068
E09000008,Croydon,Croydon,Formerly in a civil partnership now legally dissolved,107
E09000008,Croydon,Croydon,Widowed,14545
E09000008,Croydon,Croydon,Surviving partner from civil partnership,27
E09000009,Ealing,Ealing,Never married and never registered a civil partnership,123268
E09000009,Ealing,Ealing,Married: Opposite sex,130524
E09000009,Ealing,Ealing,Married: Same sex,900
E09000009,Ealing,Ealing,In a registered civil partnership: Opposite sex,362
E09000009,Ealing,Ealing,In a registered civil partnership: Same sex,496
E09000009,Ealing,Ealing,"Separated, but still married",6302
E09000009,Ealing,Ealing,"Separated, but still in a registered civil partnership",44
E09000009,Ealing,Ealing,Divorced,20434
E09000009,Ealing,Ealing,Formerly in a civil partnership now legally dissolved,56
E09000009,Ealing,Ealing,Widowed,12948
E09000009,Ealing,Ealing,Surviving partner from civil partnership,34
E09000010,Enfield,Enfield,Never married and never registered a civil partnership,104650
E09000010,Enfield,Enfield,Married: Opposite sex,109611
E09000010,Enfield,Enfield,Married: Same sex,463
E09000010,Enfield,Enfield,In a registered civil partnership: Opposite sex,251
E09000010,Enfield,Enfield,In a registered civil partnership: Same sex,256
E09000010,Enfield,Enfield,"Separated, but still married",7435
E09000010,Enfield,Enfield,"Separated, but still in a registered civil partnership",31
E09000010,Enfield,Enfield,Divorced,21371
E09000010,Enfield,Enfield,Formerly in a civil partnership now legally dissolved,36
E09000010,Enfield,Enfield,Widowed,13060
E09000010,Enfield,Enfield,Surviving partner from civil partnership,18
E09000011,Greenwich,Greenwich,Never married and never registered a civil partnership,108113
E09000011,Greenwich,Greenwich,Married: Opposite sex,85515
E09000011,Greenwich,Greenwich,Married: Same sex,1081
E09000011,Greenwich,Greenwich,In a registered civil partnership: Opposite sex,248
E09000011,Greenwich,Greenwich,In a registered civil partnership: Same sex,431
E09000011,Greenwich,Greenwich,"Separated, but still married",6571
E09000011,Greenwich,Greenwich,"Separated, but still in a registered civil partnership",63
E09000011,Greenwich,Greenwich,Divorced,18665
E09000011,Greenwich,Greenwich,Formerly in a civil partnership now legally dissolved,101
E09000011,Greenwich,Greenwich,Widowed,8933
E09000011,Greenwich,Greenwich,Surviving partner from civil partnership,26
E09000012,Hackney,Hackney,Never married and never registered a civil partnership,126197
E09000012,Hackney,Hackney,Married: Opposite sex,54878
E09000012,Hackney,Hackney,Married: Same sex,1063
E09000012,Hackney,Hackney,In a registered civil partnership: Opposite sex,362
E09000012,Hackney,Hackney,In a registered civil partnership: Same sex,661
E09000012,Hackney,Hackney,"Separated, but still married",5893
E09000012,Hackney,Hackney,"Separated, but still in a registered civil partnership",87
E09000012,Hackney,Hackney,Divorced,14276
E09000012,Hackney,Hackney,Formerly in a civil partnership now legally dissolved,149
E09000012,Hackney,Hackney,Widowed,5880
E09000012,Hackney,Hackney,Surviving partner from civil partnership,23
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,Never married and never registered a civil partnership,87382
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,Married: Opposite sex,46338
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,Married: Same sex,712
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,In a registered civil partnership: Opposite sex,184
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,In a registered civil partnership: Same sex,512
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,"Separated, but still married",3330
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,"Separated, but still in a registered civil partnership",39
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,Divorced,11287
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,Formerly in a civil partnership now legally dissolved,72
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,Widowed,4732
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,Surviving partner from civil partnership,40
E09000014,Haringey,Haringey,Never married and never registered a civil partnership,111668
E09000014,Haringey,Haringey,Married: Opposite sex,71047
E09000014,Haringey,Haringey,Married: Same sex,866
E09000014,Haringey,Haringey,In a registered civil partnership: Opposite sex,356
E09000014,Haringey,Haringey,In a registered civil partnership: Same sex,612
E09000014,Haringey,Haringey,"Separated, but still married",5962
E09000014,Haringey,Haringey,"Separated, but still in a registered civil partnership",73
E09000014,Haringey,Haringey,Divorced,17685
E09000014,Haringey,Haringey,Formerly in a civil partnership now legally dissolved,106
E09000014,Haringey,Haringey,Widowed,7584
E09000014,Haringey,Haringey,Surviving partner from civil partnership,39
E09000015,Harrow,Harrow,Never married and never registered a civil partnership,69622
E09000015,Harrow,Harrow,Married: Opposite sex,112368
E09000015,Harrow,Harrow,Married: Same sex,322
E09000015,Harrow,Harrow,In a registered civil partnership: Opposite sex,130
E09000015,Harrow,Harrow,In a registered civil partnership: Same sex,101
E09000015,Harrow,Harrow,"Separated, but still married",3766
E09000015,Harrow,Harrow,"Separated, but still in a registered civil partnership",17
E09000015,Harrow,Harrow,Divorced,11840
E09000015,Harrow,Harrow,Formerly in a civil partnership now legally dissolved,13
E09000015,Harrow,Harrow,Widowed,11428
E09000015,Harrow,Harrow,Surviving partner from civil partnership,16
E09000016,Havering,Havering,Never married and never registered a civil partnership,77340
E09000016,Havering,Havering,Married: Opposite sex,97946
E09000016,Havering,Havering,Married: Same sex,350
E09000016,Havering,Havering,In a registered civil partnership: Opposite sex,118
E09000016,Havering,Havering,In a registered civil partnership: Same sex,133
E09000016,Havering,Havering,"Separated, but still married",3996
E09000016,Havering,Havering,"Separated, but still in a registered civil partnership",22
E09000016,Havering,Havering,Divorced,16373
E09000016,Havering,Havering,Formerly in a civil partnership now legally dissolved,38
E09000016,Havering,Havering,Widowed,13406
E09000016,Havering,Havering,Surviving partner from civil partnership,8
E09000017,Hillingdon,Hillingdon,Never married and never registered a civil partnership,89544
E09000017,Hillingdon,Hillingdon,Married: Opposite sex,116846
E09000017,Hillingdon,Hillingdon,Married: Same sex,442
E09000017,Hillingdon,Hillingdon,In a registered civil partnership: Opposite sex,323
E09000017,Hillingdon,Hillingdon,In a registered civil partnership: Same sex,178
E09000017,Hillingdon,Hillingdon,"Separated, but still married",4903
E09000017,Hillingdon,Hillingdon,"Separated, but still in a registered civil partnership",31
E09000017,Hillingdon,Hillingdon,Divorced,17229
E09000017,Hillingdon,Hillingdon,Formerly in a civil partnership now legally dissolved,24
E09000017,Hillingdon,Hillingdon,Widowed,12347
E09000017,Hillingdon,Hillingdon,Surviving partner from civil partnership,11
E09000018,Hounslow,Hounslow,Never married and never registered a civil partnership,87585
E09000018,Hounslow,Hounslow,Married: Opposite sex,107233
E09000018,Hounslow,Hounslow,Married: Same sex,652
E09000018,Hounslow,Hounslow,In a registered civil partnership: Opposite sex,272
