lad22cd,lad22nm,category,count_21
E09000003,Barnet,Arrived in the UK: Aged 25 to 29 years,30557
E09000003,Barnet,Arrived in the UK: Aged 30 to 44 years,38384
E09000003,Barnet,Arrived in the UK: Aged 45 to 59 years,8346
E09000003,Barnet,Arrived in the UK: Aged 60 to 64 years,1069
E09000003,Barnet,Arrived in the UK: Aged 65 to 74 years,1154
E09000003,Barnet,Arrived in the UK: Aged 75 to 84 years,312
E09000003,Barnet,Arrived in the UK: Aged 85 to 89 years,50
E09000003,Barnet,Arrived in the UK: Aged 90 years and over,18
E09000004,Bexley,Born in the UK,194714
E09000004,Bexley,Arrived in the UK: Aged 0 to 4 years,4939
E09000004,Bexley,Arrived in the UK: Aged 5 to 7 years,2036
E09000004,Bexley,Arrived in the UK: Aged 8 to 9 years,1381
E09000004,Bexley,Arrived in the UK: Aged 10 to 14 years,3341
E09000004,Bexley,Arrived in the UK: Aged 15 years,818
E09000004,Bexley,Arrived in the UK: Aged 16 to 17 years,2097
E09000004,Bexley,Arrived in the UK: Aged 18 to 19 years,3069
E09000004,Bexley,Arrived in the UK: Aged 20 to 24 years,10136
E09000004,Bexley,Arrived in the UK: Aged 25 to 29 years,9719
E09000004,Bexley,Arrived in the UK: Aged 30 to 44 years,11349
E09000004,Bexley,Arrived in the UK: Aged 45 to 59 years,2157
E09000004,Bexley,Arrived in the UK: Aged 60 to 64 years,294
E09000004,Bexley,Arrived in the UK: Aged 65 to 74 years,313
E09000004,Bexley,Arrived in the UK: Aged 75 to 84 years,98
E09000004,Bexley,Arrived in the UK: Aged 85 to 89 years,9
E09000004,Bexley,Arrived in the UK: Aged 90 years and over,2
E09000005,Brent,Born in the UK,149239
E09000005,Brent,Arrived in the UK: Aged 0 to 4 years,13627
E09000005,Brent,Arrived in the UK: Aged 5 to 7 years,7099
E09000005,Brent,Arrived in the UK: Aged 8 to 9 years,4883
E09000005,Brent,Arrived in the UK: Aged 10 to 14 years,12751
E09000005,Brent,Arrived in the UK: Aged 15 years,3060
E09000005,Brent,Arrived in the UK: Aged 16 to 17 years,8223
E09000005,Brent,Arrived in the UK: Aged 18 to 19 years,13013
E09000005,Brent,Arrived in the UK: Aged 20 to 24 years,37353
E09000005,Brent,Arrived in the UK: Aged 25 to 29 years,33461
E09000005,Brent,Arrived in the UK: Aged 30 to 44 years,43549
E09000005,Brent,Arrived in the UK: Aged 45 to 59 years,10742
E09000005,Brent,Arrived in the UK: Aged 60 to 64 years,1173
E09000005,Brent,Arrived in the UK: Aged 65 to 74 years,1234
E09000005,Brent,Arrived in the UK: Aged 75 to 84 years,347
E09000005,Brent,Arrived in the UK: Aged 85 to 89 years,48
E09000005,Brent,Arrived in the UK: Aged 90 years and over,14
E09000006,Bromley,Born in the UK,263052
E09000006,Bromley,Arrived in the UK: Aged 0 to 4 years,7054
E09000006,Bromley,Arrived in the UK: Aged 5 to 7 years,2632
E09000006,Bromley,Arrived in the UK: Aged 8 to 9 years,1567
E09000006,Bromley,Arrived in the UK: Aged 10 to 14 years,3654
E09000006,Bromley,Arrived in the UK: Aged 15 years,880
E09000006,Bromley,Arrived in the UK: Aged 16 to 17 years,2420
E09000006,Bromley,Arrived in the UK: Aged 18 to 19 years,3794
E09000006,Bromley,Arrived in the UK: Aged 20 to 24 years,12960
E09000006,Bromley,Arrived in the UK: Aged 25 to 29 years,13736
E09000006,Bromley,Arrived in the UK: Aged 30 to 44 years,14766
E09000006,Bromley,Arrived in the UK: Aged 45 to 59 years,2529
E09000006,Bromley,Arrived in the UK: Aged 60 to 64 years,378
E09000006,Bromley,Arrived in the UK: Aged 65 to 74 years,428
E09000006,Bromley,Arrived in the UK: Aged 75 to 84 years,115
E09000006,Bromley,Arrived in the UK: Aged 85 to 89 years,20
E09000006,Bromley,Arrived in the UK: Aged 90 years and over,5
E09000007,Camden,Born in the UK,114647
E09000007,Camden,Arrived in the UK: Aged 0 to 4 years,7617
E09000007,Camden,Arrived in the UK: Aged 5 to 7 years,3072
E09000007,Camden,Arrived in the UK: Aged 8 to 9 years,1843
E09000007,Camden,Arrived in the UK: Aged 10 to 14 years,4405
E09000007,Camden,Arrived in the UK: Aged 15 years,1133
E09000007,Camden,Arrived in the UK: Aged 16 to 17 years,4592
E09000007,Camden,Arrived in the UK: Aged 18 to 19 years,7503
E09000007,Camden,Arrived in the UK: Aged 20 to 24 years,19464
E09000007,Camden,Arrived in the UK: Aged 25 to 29 years,18776
E09000007,Camden,Arrived in the UK: Aged 30 to 44 years,21400
E09000007,Camden,Arrived in the UK: Aged 45 to 59 years,4456
E09000007,Camden,Arrived in the UK: Aged 60 to 64 years,515
E09000007,Camden,Arrived in the UK: Aged 65 to 74 years,550
E09000007,Camden,Arrived in the UK: Aged 75 to 84 years,135
E09000007,Camden,Arrived in the UK: Aged 85 to 89 years,24
E09000007,Camden,Arrived in the UK: Aged 90 years and over,4
E09000008,Croydon,Born in the UK,254536
E09000008,Croydon,Arrived in the UK: Aged 0 to 4 years,11811
E09000008,Croydon,Arrived in the UK: Aged 5 to 7 years,5819
E09000008,Croydon,Arrived in the UK: Aged 8 to 9 years,4018
E09000008,Croydon,Arrived in the UK: Aged 10 to 14 years,10163
E09000008,Croydon,Arrived in the UK: Aged 15 years,2627
E09000008,Croydon,Arrived in the UK: Aged 16 to 17 years,5868
E09000008,Croydon,Arrived in the UK: Aged 18 to 19 years,8243
E09000008,Croydon,Arrived in the UK: Aged 20 to 24 years,25870
E09000008,Croydon,Arrived in the UK: Aged 25 to 29 years,24037
E09000008,Croydon,Arrived in the UK: Aged 30 to 44 years,29274
E09000008,Croydon,Arrived in the UK: Aged 45 to 59 years,6545
E09000008,Croydon,Arrived in the UK: Aged 60 to 64 years,775
E09000008,Croydon,Arrived in the UK: Aged 65 to 74 years,801
E09000008,Croydon,Arrived in the UK: Aged 75 to 84 years,289
E09000008,Croydon,Arrived in the UK: Aged 85 to 89 years,32
E09000008,Croydon,Arrived in the UK: Aged 90 years and over,11
E09000009,Ealing,Born in the UK,180561
E09000009,Ealing,Arrived in the UK: Aged 0 to 4 years,14583
E09000009,Ealing,Arrived in the UK: Aged 5 to 7 years,7272
E09000009,Ealing,Arrived in the UK: Aged 8 to 9 years,4727
E09000009,Ealing,Arrived in the UK: Aged 10 to 14 years,11703
E09000009,Ealing,Arrived in the UK: Aged 15 years,2667
E09000009,Ealing,Arrived in the UK: Aged 16 to 17 years,7063
E09000009,Ealing,Arrived in the UK: Aged 18 to 19 years,11700
E09000009,Ealing,Arrived in the UK: Aged 20 to 24 years,36158
E09000009,Ealing,Arrived in the UK: Aged 25 to 29 years,33659
E09000009,Ealing,Arrived in the UK: Aged 30 to 44 years,43191
E09000009,Ealing,Arrived in the UK: Aged 45 to 59 years,10618
E09000009,Ealing,Arrived in the UK: Aged 60 to 64 years,1368
E09000009,Ealing,Arrived in the UK: Aged 65 to 74 years,1454
E09000009,Ealing,Arrived in the UK: Aged 75 to 84 years,340
E09000009,Ealing,Arrived in the UK: Aged 85 to 89 years,40
E09000009,Ealing,Arrived in the UK: Aged 90 years and over,10
E09000010,Enfield,Born in the UK,196824
E09000010,Enfield,Arrived in the UK: Aged 0 to 4 years,12151
E09000010,Enfield,Arrived in the UK: Aged 5 to 7 years,6267
E09000010,Enfield,Arrived in the UK: Aged 8 to 9 years,4199
E09000010,Enfield,Arrived in the UK: Aged 10 to 14 years,10481
E09000010,Enfield,Arrived in the UK: Aged 15 years,2637
