lad22cd,lad22nm,lsoa21cd,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White
E09000008,Croydon,E01001053,0,8,7,30,11,124,50,31,16,10,2,40,11,5,1105,0,20,43
E09000008,Croydon,E01001054,0,6,7,17,17,215,134,44,16,9,10,54,7,9,1069,2,25,69
E09000008,Croydon,E01001055,2,15,17,17,6,142,80,32,17,8,11,35,9,0,1124,0,21,59
E09000008,Croydon,E01001056,7,5,19,64,22,333,156,61,29,20,33,126,25,2,1228,0,14,85
E09000008,Croydon,E01001057,0,6,9,42,32,252,96,54,20,15,27,91,6,5,726,0,7,48
E09000008,Croydon,E01001058,7,8,35,38,8,77,14,14,14,11,9,6,8,0,1010,0,7,60
E09000008,Croydon,E01001059,9,3,22,25,12,45,21,27,13,13,4,30,14,5,1084,0,12,57
E09000008,Croydon,E01001060,4,1,56,27,8,60,47,31,10,24,9,28,4,2,1198,0,9,63
E09000008,Croydon,E01001061,2,4,38,31,29,88,42,27,15,22,12,36,11,11,1098,1,19,47
E09000008,Croydon,E01001062,20,25,121,41,33,30,87,23,25,26,6,20,12,3,966,0,56,73
E09000008,Croydon,E01001063,8,11,90,51,26,35,74,23,21,22,14,21,7,1,1043,0,26,66
E09000008,Croydon,E01001064,13,23,144,81,52,47,34,11,3,18,3,12,9,1,1046,0,17,54
E09000008,Croydon,E01001065,2,4,32,26,12,43,24,15,15,10,1,13,7,4,1065,0,10,51
E09000008,Croydon,E01001066,13,7,23,31,34,181,92,51,27,5,6,45,27,4,750,0,21,52
E09000008,Croydon,E01001067,10,21,115,64,30,41,28,26,23,30,11,21,12,15,1094,0,33,57
E09000008,Croydon,E01001068,4,9,48,41,17,93,64,21,15,44,12,31,14,11,1389,0,20,91
E09000008,Croydon,E01001069,10,12,93,38,33,26,40,9,8,22,7,11,7,6,991,0,19,53
E09000008,Croydon,E01001070,9,24,97,37,13,71,86,43,30,17,9,39,20,3,1106,0,27,95
E09000008,Croydon,E01001071,3,13,30,46,9,45,42,13,24,29,7,29,16,3,1507,0,17,58
E09000008,Croydon,E01001072,6,10,44,71,10,16,6,14,7,13,7,3,17,3,1183,0,26,52
E09000008,Croydon,E01001073,1,18,80,68,27,26,50,10,21,30,7,26,4,4,943,0,25,101
E09000008,Croydon,E01001074,12,26,91,53,31,63,83,44,26,25,33,68,22,17,1170,0,39,130
E09000008,Croydon,E01001075,2,14,52,31,18,26,35,23,20,24,8,19,8,1,1151,0,29,86
E09000008,Croydon,E01001076,9,15,21,28,2,141,47,28,44,9,16,50,18,2,1112,2,18,44
E09000008,Croydon,E01001077,0,11,12,21,21,88,20,12,3,5,9,14,15,0,1120,0,15,30
E09000008,Croydon,E01001078,4,3,19,29,5,139,60,22,12,10,4,26,10,8,1013,0,12,28
E09000008,Croydon,E01001079,1,0,10,19,9,152,60,37,10,6,12,46,1,9,1262,10,9,28
E09000008,Croydon,E01001080,2,6,21,8,22,161,91,54,12,23,8,44,30,5,1123,6,23,39
E09000008,Croydon,E01001081,1,2,9,35,12,122,49,18,22,8,4,33,5,5,1032,1,5,46
E09000008,Croydon,E01001082,5,1,11,14,1,138,70,37,21,13,10,30,12,3,1200,0,26,35
E09000008,Croydon,E01001083,40,28,228,75,170,71,179,64,20,25,12,30,15,9,445,1,30,167
E09000008,Croydon,E01001084,2,26,286,59,124,77,123,55,43,23,11,20,29,11,701,0,61,177
E09000008,Croydon,E01001085,22,25,222,91,125,163,192,77,24,40,28,28,31,9,271,3,15,240
E09000008,Croydon,E01001086,12,26,188,74,158,91,317,88,43,20,27,50,36,12,384,0,39,185
E09000008,Croydon,E01001087,25,37,300,121,247,179,269,81,41,30,14,34,42,21,444,2,30,278
E09000008,Croydon,E01001088,23,13,146,104,130,143,328,96,28,30,22,35,35,16,370,0,29,161
E09000008,Croydon,E01001089,28,23,199,97,147,204,218,71,41,23,22,75,35,5,404,3,33,279
E09000008,Croydon,E01001090,22,18,211,124,178,277,266,136,50,49,32,51,32,13,543,0,42,243
E09000008,Croydon,E01001091,16,17,207,108,149,87,202,51,31,20,17,21,13,19,416,0,30,181
E09000008,Croydon,E01001092,5,9,168,103,71,55,67,19,28,33,6,12,17,8,1026,0,47,103
E09000008,Croydon,E01001093,14,27,176,91,32,83,74,43,44,42,19,32,52,10,885,0,24,90
E09000008,Croydon,E01001094,11,30,203,96,73,21,23,3,14,23,9,11,12,13,919,0,43,81
E09000008,Croydon,E01001095,15,8,78,87,12,89,62,44,17,16,7,34,19,10,858,0,30,82
E09000008,Croydon,E01001096,11,19,84,46,51,38,53,25,32,35,6,32,10,2,985,0,25,80
E09000008,Croydon,E01001097,23,26,102,98,39,72,66,44,28,75,27,43,34,14,1204,1,38,169
E09000008,Croydon,E01001098,6,10,75,61,18,29,40,4,11,48,7,15,8,5,1028,0,20,67
E09000008,Croydon,E01001099,5,15,34,61,44,37,64,25,25,28,6,43,21,4,941,6,35,83
E09000008,Croydon,E01001100,0,9,50,78,11,53,63,15,12,9,2,30,5,14,1032,0,27,63
E09000008,Croydon,E01001101,0,7,69,26,26,6,31,9,13,15,1,19,15,1,1135,0,21,29
E09000008,Croydon,E01001102,1,22,89,46,19,28,23,6,8,24,5,11,10,3,1117,0,20,31
E09000008,Croydon,E01001103,4,11,65,66,17,19,21,14,13,26,0,26,11,5,1324,0,18,40
E09000008,Croydon,E01001104,1,17,99,31,29,43,35,8,5,22,6,20,21,4,1237,2,18,67
E09000008,Croydon,E01001105,9,13,36,8,8,37,59,17,10,18,10,36,7,1,1381,4,18,57
E09000008,Croydon,E01001106,0,12,42,31,33,26,35,20,9,14,8,34,13,2,1179,0,11,21
E09000008,Croydon,E01001107,8,21,132,70,26,43,32,6,16,39,12,12,6,8,1087,0,23,75
E09000008,Croydon,E01001108,2,33,79,28,28,25,37,7,30,20,3,28,11,5,1280,0,35,60
E09000008,Croydon,E01001109,20,27,119,119,46,250,257,130,36,37,19,56,33,6,719,3,25,137
E09000008,Croydon,E01001110,19,33,137,98,77,219,197,180,28,24,30,67,32,6,456,0,25,159
E09000008,Croydon,E01001111,6,23,66,76,40,213,293,142,44,18,32,64,19,17,416,3,25,110
E09000008,Croydon,E01001112,6,19,39,52,19,307,267,133,35,31,21,107,18,19,529,0,21,95
E09000008,Croydon,E01001113,1,12,50,73,44,275,305,153,48,27,34,82,42,7,515,1,33,126
E09000008,Croydon,E01001114,28,7,52,94,29,224,252,110,44,9,9,62,14,15,330,0,16,105
E09000008,Croydon,E01001115,23,21,192,139,89,228,245,74,25,27,21,46,56,19,423,3,4,71
E09000008,Croydon,E01001116,9,9,82,107,48,197,230,50,46,11,18,55,14,12,361,0,10,100
E09000008,Croydon,E01001118,11,20,151,123,68,235,271,135,47,47,11,70,30,15,477,1,29,141
E09000008,Croydon,E01001119,4,9,23,19,2,34,17,7,1,8,0,11,5,8,1284,0,14,24
E09000008,Croydon,E01001120,5,8,30,68,9,43,46,19,7,22,2,13,7,1,922,0,7,54
E09000008,Croydon,E01001121,8,6,78,38,10,17,12,2,6,12,2,7,9,5,1022,1,22,51
E09000008,Croydon,E01001122,3,33,117,89,44,57,47,20,9,16,8,14,7,2,907,0,35,131
E09000008,Croydon,E01001123,0,7,83,47,14,37,50,7,15,16,2,14,16,1,1121,0,32,52
E09000008,Croydon,E01001124,0,11,89,24,24,12,23,9,17,15,5,8,5,0,1284,0,20,27
E09000008,Croydon,E01001125,24,5,118,85,37,47,36,23,7,13,9,17,19,3,1117,0,30,60
E09000008,Croydon,E01001126,0,9,42,26,3,19,27,17,17,26,4,12,4,4,1146,1,15,30
E09000008,Croydon,E01001127,8,17,58,73,15,72,49,14,6,18,3,27,17,1,1164,0,16,49
E09000008,Croydon,E01001128,21,16,44,56,42,287,103,54,18,10,18,34,23,6,799,0,23,57
E09000008,Croydon,E01001129,7,8,71,18,19,20,60,20,21,18,6,11,16,0,1081,0,26,53
E09000008,Croydon,E01001130,51,2,37,92,27,408,136,165,55,13,23,49,23,9,562,4,18,102
E09000008,Croydon,E01001131,1,13,42,37,29,53,52,25,12,16,4,18,13,8,1149,7,21,63
E09000008,Croydon,E01001132,5,16,75,46,24,39,38,15,10,4,16,22,18,4,1049,0,31,52
E09000008,Croydon,E01001133,1,21,95,67,8,43,49,17,20,18,4,24,6,7,1099,0,32,46
E09000008,Croydon,E01001134,2,37,85,65,27,31,57,18,27,19,7,33,14,8,1069,1,19,98
E09000008,Croydon,E01001135,12,13,122,58,15,44,73,15,19,22,11,29,18,7,1121,0,22,45
E09000008,Croydon,E01001136,6,37,39,83,70,227,287,108,41,22,24,89,34,10,603,1,31,168
E09000008,Croydon,E01001137,10,20,55,53,27,157,119,61,35,29,24,55,9,11,892,1,32,179
E09000008,Croydon,E01001138,4,8,48,48,14,124,111,52,31,25,19,55,8,4,849,3,33,146
E09000008,Croydon,E01001139,1,7,73,52,40,197,274,88,24,18,18,55,28,7,581,1,33,105
E09000008,Croydon,E01001140,9,10,34,39,16,148,194,79,28,31,35,67,27,4,684,2,35,171
E09000008,Croydon,E01001141,9,19,19,43,14,169,222,98,13,24,21,50,15,4,414,0,20,92
E09000008,Croydon,E01001142,3,10,43,40,29,164,323,85,23,5,12,55,2,1,578,0,31,122
E09000008,Croydon,E01001143,17,18,28,62,23,288,383,131,36,17,28,74,34,3,635,1,26,137
E09000008,Croydon,E01001144,6,18,24,71,41,246,286,126,49,29,29,68,16,10,507,1,33,113
E09000008,Croydon,E01001145,30,24,42,81,38,289,248,111,50,15,34,83,18,4,492,0,11,116
E09000008,Croydon,E01001146,7,20,54,48,53,210,449,153,31,28,11,69,10,2,377,0,17,76
E09000008,Croydon,E01001147,12,8,84,71,90,273,269,105,20,16,33,80,14,13,382,4,20,128
E09000008,Croydon,E01001148,5,20,51,69,51,192,429,88,25,16,9,56,14,11,472,0,26,79
E09000008,Croydon,E01001149,0,8,43,62,18,251,324,100,29,16,18,53,29,3,480,0,30,108
E09000008,Croydon,E01001150,15,12,40,54,34,214,344,86,31,21,27,80,21,10,542,0,30,94
E09000008,Croydon,E01001151,13,3,81,65,65,230,266,83,36,32,37,51,22,9,450,0,19,138
E09000008,Croydon,E01001152,14,17,89,100,79,300,283,121,42,16,28,68,19,6,346,0,17,126
E09000008,Croydon,E01001153,11,11,72,79,62,247,411,85,39,21,28,69,46,3,301,0,24,110
E09000008,Croydon,E01001154,21,29,63,107,58,299,383,171,27,25,22,84,34,19,462,0,19,146
E09000008,Croydon,E01001155,19,14,111,85,71,286,315,122,37,28,16,30,42,13,296,0,28,90
E09000008,Croydon,E01001156,27,14,60,47,25,202,133,93,53,19,18,44,19,9,807,0,26,122
E09000008,Croydon,E01001157,39,6,196,63,106,147,243,64,23,15,7,50,24,7,532,4,25,152
E09000008,Croydon,E01001158,2,16,25,40,36,210,189,92,29,12,28,65,12,3,668,0,25,112
E09000008,Croydon,E01001159,6,37,109,87,58,176,168,68,23,30,24,53,33,5,646,0,49,229
E09000008,Croydon,E01001160,39,49,302,97,217,94,271,65,31,20,14,34,59,2,412,1,31,143
E09000008,Croydon,E01001161,142,6,110,40,99,235,242,151,40,20,28,56,32,17,460,1,21,149
E09000008,Croydon,E01001162,8,13,36,65,15,174,212,80,39,21,29,67,46,5,718,0,34,162
E09000008,Croydon,E01001163,30,23,83,40,21,142,246,82,52,27,18,63,36,19,761,4,45,247
E09000008,Croydon,E01001164,20,37,39,71,10,108,96,86,33,29,24,68,29,1,923,0,53,276
E09000008,Croydon,E01001165,8,17,110,60,26,139,144,70,19,19,14,59,27,12,757,1,23,151
E09000008,Croydon,E01001166,8,15,77,86,34,157,143,58,44,35,23,61,38,14,782,0,39,200
E09000008,Croydon,E01001167,22,84,145,115,50,209,160,49,37,30,30,66,30,38,946,9,24,149
E09000008,Croydon,E01001168,15,17,122,77,13,114,139,40,32,46,20,49,28,8,840,0,36,141
E09000008,Croydon,E01001169,35,14,71,107,27,158,115,82,38,18,10,57,15,10,821,0,13,89
E09000008,Croydon,E01001170,4,36,88,111,44,155,116,80,34,32,25,59,54,5,958,1,35,213
E09000008,Croydon,E01001171,5,24,113,146,21,153,93,94,29,24,12,41,21,2,727,0,26,107
E09000008,Croydon,E01001172,12,17,72,92,44,169,142,36,45,25,9,58,36,10,829,12,23,117
E09000008,Croydon,E01001173,16,66,150,123,68,256,159,75,43,27,25,86,59,12,1195,1,31,169
E09000008,Croydon,E01001174,37,18,334,141,163,133,274,57,13,14,13,38,29,23,251,0,5,77
E09000008,Croydon,E01001175,8,4,223,140,87,200,286,87,28,15,10,48,24,7,237,5,10,123
E09000008,Croydon,E01001176,35,13,290,237,272,176,283,90,47,23,10,53,35,14,225,4,8,87
E09000008,Croydon,E01001177,35,19,205,254,93,188,180,76,21,27,11,45,20,17,367,0,8,51
E09000008,Croydon,E01001178,12,14,135,62,108,211,196,74,22,11,17,45,43,9,300,0,17,89
E09000008,Croydon,E01001179,11,4,309,236,92,111,189,75,28,18,11,24,23,2,301,5,14,81
