lad22cd,lad22nm,lsoa21cd,All household members have the same ethnic group,Any other combination of multiple ethnic identities,Ethnic groups differ between generations but not within partnerships,Ethnic groups differ within partnerships,One-person household
E09000020,Kensington and Chelsea,E01002906,258,44,58,73,274
E09000020,Kensington and Chelsea,E01002907,247,16,68,49,171
E09000020,Kensington and Chelsea,E01002908,223,47,31,75,226
E09000020,Kensington and Chelsea,E01002909,315,63,62,134,578
E09000020,Kensington and Chelsea,E01002910,190,29,29,80,428
E09000020,Kensington and Chelsea,E01002911,258,62,32,103,312
E09000020,Kensington and Chelsea,E01002912,250,81,33,78,367
E09000020,Kensington and Chelsea,E01002913,303,67,31,111,420
E09000020,Kensington and Chelsea,E01002914,259,36,19,83,344
E09000021,Kingston upon Thames,E01002915,298,26,11,45,99
E09000021,Kingston upon Thames,E01002916,318,23,16,66,97
E09000021,Kingston upon Thames,E01002917,337,13,11,49,87
E09000021,Kingston upon Thames,E01002918,398,26,27,52,112
E09000021,Kingston upon Thames,E01002919,378,28,31,46,186
E09000021,Kingston upon Thames,E01002920,358,14,9,82,130
E09000021,Kingston upon Thames,E01002921,282,58,18,94,405
E09000021,Kingston upon Thames,E01002922,412,28,13,80,307
E09000021,Kingston upon Thames,E01002923,270,53,25,45,384
E09000021,Kingston upon Thames,E01002924,357,6,14,73,110
E09000021,Kingston upon Thames,E01002925,274,21,17,79,290
E09000021,Kingston upon Thames,E01002926,332,19,16,73,150
E09000021,Kingston upon Thames,E01002927,342,22,15,48,187
E09000021,Kingston upon Thames,E01002928,310,24,19,61,246
E09000021,Kingston upon Thames,E01002929,368,20,17,75,155
E09000021,Kingston upon Thames,E01002930,360,49,22,69,183
E09000021,Kingston upon Thames,E01002931,382,22,29,100,121
E09000021,Kingston upon Thames,E01002932,357,21,39,60,201
E09000021,Kingston upon Thames,E01002933,390,38,29,77,273
E09000021,Kingston upon Thames,E01002934,408,20,15,94,112
E09000021,Kingston upon Thames,E01002935,327,68,24,113,243
E09000021,Kingston upon Thames,E01002937,346,35,16,106,142
E09000021,Kingston upon Thames,E01002938,400,23,34,129,196
E09000021,Kingston upon Thames,E01002939,353,19,20,55,158
E09000021,Kingston upon Thames,E01002940,380,12,30,41,141
E09000021,Kingston upon Thames,E01002941,372,16,13,31,196
E09000021,Kingston upon Thames,E01002942,352,8,14,37,111
E09000021,Kingston upon Thames,E01002943,335,12,21,25,114
E09000021,Kingston upon Thames,E01002944,332,11,14,36,115
E09000021,Kingston upon Thames,E01002945,416,9,12,39,179
E09000021,Kingston upon Thames,E01002946,393,13,16,55,126
E09000021,Kingston upon Thames,E01002947,411,7,18,44,117
E09000021,Kingston upon Thames,E01002948,478,18,34,70,184
E09000021,Kingston upon Thames,E01002949,427,19,24,54,153
E09000021,Kingston upon Thames,E01002950,386,10,24,55,244
E09000021,Kingston upon Thames,E01002951,299,38,29,90,168
E09000021,Kingston upon Thames,E01002952,290,27,22,68,79
E09000021,Kingston upon Thames,E01002953,245,44,18,56,90
E09000021,Kingston upon Thames,E01002954,209,30,25,74,227
E09000021,Kingston upon Thames,E01002955,268,44,18,58,125
E09000021,Kingston upon Thames,E01002956,255,19,23,50,90
E09000021,Kingston upon Thames,E01002957,292,91,45,44,136
E09000021,Kingston upon Thames,E01002958,363,23,21,87,165
E09000021,Kingston upon Thames,E01002959,284,18,26,74,77
E09000021,Kingston upon Thames,E01002960,335,27,26,70,116
E09000021,Kingston upon Thames,E01002961,369,20,28,95,97
E09000021,Kingston upon Thames,E01002962,312,26,26,59,88
E09000021,Kingston upon Thames,E01002963,342,32,20,90,284
E09000021,Kingston upon Thames,E01002964,357,86,29,79,431
E09000021,Kingston upon Thames,E01002965,414,146,37,89,385
E09000021,Kingston upon Thames,E01002966,382,68,20,70,204
E09000021,Kingston upon Thames,E01002967,379,65,21,118,375
E09000021,Kingston upon Thames,E01002968,391,135,22,123,452
E09000021,Kingston upon Thames,E01002969,317,41,63,64,271
E09000021,Kingston upon Thames,E01002970,308,47,30,56,129
E09000021,Kingston upon Thames,E01002971,350,65,22,74,194
E09000021,Kingston upon Thames,E01002972,340,78,30,105,275
E09000021,Kingston upon Thames,E01002973,286,29,26,29,95
E09000021,Kingston upon Thames,E01002974,366,60,31,82,187
E09000021,Kingston upon Thames,E01002975,309,17,28,50,79
E09000021,Kingston upon Thames,E01002976,399,25,20,62,135
E09000021,Kingston upon Thames,E01002977,370,21,37,46,180
E09000021,Kingston upon Thames,E01002978,409,23,10,86,156
E09000021,Kingston upon Thames,E01002979,354,22,16,52,170
E09000021,Kingston upon Thames,E01002980,344,9,15,45,69
E09000021,Kingston upon Thames,E01002981,330,22,16,50,100
E09000021,Kingston upon Thames,E01002982,300,22,15,52,128
E09000021,Kingston upon Thames,E01002983,395,12,19,50,119
E09000021,Kingston upon Thames,E01002984,286,17,17,55,229
E09000021,Kingston upon Thames,E01002985,347,31,24,50,151
E09000021,Kingston upon Thames,E01002986,291,11,15,37,117
E09000021,Kingston upon Thames,E01002987,264,63,13,79,425
E09000021,Kingston upon Thames,E01002988,248,38,19,72,195
E09000021,Kingston upon Thames,E01002989,418,28,17,133,313
E09000021,Kingston upon Thames,E01002990,320,42,15,117,443
E09000021,Kingston upon Thames,E01002991,312,53,16,89,240
E09000021,Kingston upon Thames,E01002992,204,44,14,52,124
E09000021,Kingston upon Thames,E01002993,309,35,23,100,400
E09000021,Kingston upon Thames,E01002994,319,24,16,77,166
E09000021,Kingston upon Thames,E01002995,317,23,8,81,173
E09000021,Kingston upon Thames,E01002996,316,22,20,75,156
E09000021,Kingston upon Thames,E01002997,303,21,15,72,177
E09000021,Kingston upon Thames,E01002998,333,21,31,69,158
E09000021,Kingston upon Thames,E01002999,273,53,24,77,316
E09000021,Kingston upon Thames,E01003000,360,25,21,39,142
E09000021,Kingston upon Thames,E01003001,402,32,29,52,112
E09000021,Kingston upon Thames,E01003002,392,37,30,74,250
E09000021,Kingston upon Thames,E01003003,323,43,26,35,147
E09000021,Kingston upon Thames,E01003004,385,17,20,47,122
E09000021,Kingston upon Thames,E01003005,374,11,19,44,122
E09000021,Kingston upon Thames,E01003006,307,15,29,82,178
E09000021,Kingston upon Thames,E01003007,337,12,27,70,103
E09000021,Kingston upon Thames,E01003008,294,10,24,95,91
E09000021,Kingston upon Thames,E01003009,383,24,25,120,221
E09000021,Kingston upon Thames,E01003010,335,18,10,71,120
E09000021,Kingston upon Thames,E01003011,363,30,27,107,203
E09000022,Lambeth,E01003013,296,75,13,56,414
E09000022,Lambeth,E01003014,274,88,49,84,355
E09000022,Lambeth,E01003015,240,44,34,34,206
E09000022,Lambeth,E01003016,190,33,20,39,244
E09000022,Lambeth,E01003017,290,48,48,69,407
E09000022,Lambeth,E01003018,379,108,49,111,352
E09000022,Lambeth,E01003019,369,114,41,108,282
E09000022,Lambeth,E01003020,252,103,71,82,263
E09000022,Lambeth,E01003021,248,65,59,39,252
E09000022,Lambeth,E01003022,276,95,40,97,262
E09000022,Lambeth,E01003023,366,163,77,87,370
E09000022,Lambeth,E01003024,296,64,81,51,274
E09000022,Lambeth,E01003025,335,69,82,92,264
E09000022,Lambeth,E01003026,254,73,20,96,213
E09000022,Lambeth,E01003027,236,59,19,74,92
E09000022,Lambeth,E01003028,273,51,33,83,123
E09000022,Lambeth,E01003029,317,107,31,86,319
E09000022,Lambeth,E01003030,349,100,29,95,210
E09000022,Lambeth,E01003031,272,90,44,75,239
E09000022,Lambeth,E01003032,278,89,59,70,263
E09000022,Lambeth,E01003033,287,61,25,69,152
E09000022,Lambeth,E01003034,298,76,49,77,223
E09000022,Lambeth,E01003035,272,103,33,72,230
E09000022,Lambeth,E01003036,303,66,34,63,271
E09000022,Lambeth,E01003037,229,57,65,45,210
E09000022,Lambeth,E01003038,234,58,11,74,193
E09000022,Lambeth,E01003039,428,116,43,125,352
E09000022,Lambeth,E01003040,239,56,25,64,210
E09000022,Lambeth,E01003041,247,74,71,55,231
E09000022,Lambeth,E01003042,155,74,26,35,212
E09000022,Lambeth,E01003043,243,101,38,82,221
E09000022,Lambeth,E01003044,188,23,48,44,303
E09000022,Lambeth,E01003045,279,52,104,47,246
E09000022,Lambeth,E01003046,263,58,90,53,279
E09000022,Lambeth,E01003047,266,102,65,52,266
E09000022,Lambeth,E01003048,261,41,108,45,286
E09000022,Lambeth,E01003049,248,60,82,60,218
E09000022,Lambeth,E01003050,237,117,35,77,307
E09000022,Lambeth,E01003051,272,71,73,50,209
E09000022,Lambeth,E01003052,263,50,105,41,299
E09000022,Lambeth,E01003053,318,109,31,78,221
E09000022,Lambeth,E01003054,332,146,31,68,242
E09000022,Lambeth,E01003055,220,76,40,73,381
E09000022,Lambeth,E01003056,309,145,52,76,256
E09000022,Lambeth,E01003057,251,91,77,43,262
E09000022,Lambeth,E01003058,320,136,59,60,245
E09000022,Lambeth,E01003059,265,53,69,31,207
E09000022,Lambeth,E01003060,254,39,76,24,239
E09000022,Lambeth,E01003061,215,65,39,34,215
E09000022,Lambeth,E01003062,290,42,75,97,291
E09000022,Lambeth,E01003063,223,27,76,61,277
E09000022,Lambeth,E01003064,271,45,37,114,193
E09000022,Lambeth,E01003065,246,35,73,43,269
E09000022,Lambeth,E01003066,293,53,56,73,266
E09000022,Lambeth,E01003067,265,31,53,84,166
E09000022,Lambeth,E01003068,281,27,81,77,191
E09000022,Lambeth,E01003069,265,24,60,49,122
E09000022,Lambeth,E01003070,259,27,74,61,234
E09000022,Lambeth,E01003071,389,111,67,148,289
E09000022,Lambeth,E01003072,316,59,55,93,246
E09000022,Lambeth,E01003073,311,59,75,102,267
E09000022,Lambeth,E01003074,390,84,68,137,417
E09000022,Lambeth,E01003075,257,29,96,45,258
E09000022,Lambeth,E01003076,318,118,46,82,272
E09000022,Lambeth,E01003077,296,99,53,76,262
E09000022,Lambeth,E01003078,250,43,20,72,133
E09000022,Lambeth,E01003079,258,46,90,78,285
E09000022,Lambeth,E01003080,260,57,53,85,208
E09000022,Lambeth,E01003081,269,60,61,79,299
E09000022,Lambeth,E01003082,244,25,65,70,247
E09000022,Lambeth,E01003083,228,45,60,76,185
E09000022,Lambeth,E01003084,256,51,40,107,219
E09000022,Lambeth,E01003085,337,53,77,100,253
E09000022,Lambeth,E01003086,250,33,79,74,211
E09000022,Lambeth,E01003087,199,22,72,34,161
E09000022,Lambeth,E01003088,300,107,72,50,208
E09000022,Lambeth,E01003089,292,65,101,35,196
E09000022,Lambeth,E01003090,330,154,39,81,297
E09000022,Lambeth,E01003091,255,86,81,64,182
E09000022,Lambeth,E01003092,289,48,94,58,228
E09000022,Lambeth,E01003093,400,76,124,80,269
E09000022,Lambeth,E01003094,330,95,48,68,276
E09000022,Lambeth,E01003095,315,84,44,97,220
E09000022,Lambeth,E01003096,368,155,28,77,298
E09000022,Lambeth,E01003097,286,67,67,48,256
E09000022,Lambeth,E01003098,253,67,46,60,219
E09000022,Lambeth,E01003099,262,89,60,52,203
E09000022,Lambeth,E01003100,329,161,29,111,248
E09000022,Lambeth,E01003101,283,66,54,63,219
E09000022,Lambeth,E01003102,248,98,31,84,383
E09000022,Lambeth,E01003104,283,88,28,71,307
E09000022,Lambeth,E01003105,274,51,66,61,328
E09000022,Lambeth,E01003106,299,59,61,76,269
E09000022,Lambeth,E01003107,384,115,51,113,413
E09000022,Lambeth,E01003108,226,48,68,66,347
E09000022,Lambeth,E01003110,324,76,44,80,325
E09000022,Lambeth,E01003111,257,35,73,31,242
E09000022,Lambeth,E01003112,233,44,54,50,390
E09000022,Lambeth,E01003113,310,80,75,92,260
E09000022,Lambeth,E01003114,321,65,45,96,238
E09000022,Lambeth,E01003115,284,62,44,84,195
E09000022,Lambeth,E01003116,287,49,39,67,192
E09000022,Lambeth,E01003117,294,89,66,90,302
E09000022,Lambeth,E01003118,272,82,36,80,218
E09000022,Lambeth,E01003119,305,61,49,94,304
E09000022,Lambeth,E01003120,306,62,67,102,424
E09000022,Lambeth,E01003121,270,38,94,48,241
E09000022,Lambeth,E01003122,304,88,52,74,352
E09000022,Lambeth,E01003123,278,62,36,92,215
E09000022,Lambeth,E01003124,237,63,48,60,211
E09000022,Lambeth,E01003125,311,33,107,41,200
E09000022,Lambeth,E01003126,271,50,70,53,201
E09000022,Lambeth,E01003127,317,66,45,65,262
E09000022,Lambeth,E01003128,249,56,61,39,259
E09000022,Lambeth,E01003129,334,83,54,77,260
E09000022,Lambeth,E01003130,289,77,45,88,240
E09000022,Lambeth,E01003131,274,56,34,53,200
E09000022,Lambeth,E01003132,221,56,74,44,141
E09000022,Lambeth,E01003133,256,77,58,84,290
E09000022,Lambeth,E01003134,263,68,47,68,173
E09000022,Lambeth,E01003135,273,77,50,56,268
E09000022,Lambeth,E01003136,265,50,52,70,298
E09000022,Lambeth,E01003137,236,51,62,65,262
E09000022,Lambeth,E01003138,308,67,23,79,212
E09000022,Lambeth,E01003139,208,28,49,42,99
E09000022,Lambeth,E01003140,325,38,59,60,126
E09000022,Lambeth,E01003141,302,32,74,73,242
E09000022,Lambeth,E01003142,246,34,36,46,91
E09000022,Lambeth,E01003143,254,30,46,42,144
E09000022,Lambeth,E01003144,248,41,24,92,115
E09000022,Lambeth,E01003145,289,55,40,76,323
E09000022,Lambeth,E01003146,272,45,55,36,116
E09000022,Lambeth,E01003147,331,63,64,86,253
E09000022,Lambeth,E01003148,292,52,37,102,279
E09000022,Lambeth,E01003149,295,47,58,90,204
E09000022,Lambeth,E01003150,290,45,58,70,306
E09000022,Lambeth,E01003151,304,47,100,60,309
E09000022,Lambeth,E01003152,316,73,47,117,208
E09000022,Lambeth,E01003153,379,135,29,95,291
E09000022,Lambeth,E01003154,310,44,74,76,282
E09000022,Lambeth,E01003155,282,74,35,107,252
E09000022,Lambeth,E01003156,320,44,30,67,204
E09000022,Lambeth,E01003157,308,51,33,61,124
E09000022,Lambeth,E01003158,352,43,16,94,232
E09000022,Lambeth,E01003159,240,53,54,48,204
E09000022,Lambeth,E01003160,254,41,84,20,159
E09000022,Lambeth,E01003161,234,48,28,53,135
E09000022,Lambeth,E01003162,346,67,126,46,245
E09000022,Lambeth,E01003163,274,50,46,72,146
E09000022,Lambeth,E01003164,356,88,92,94,305
E09000022,Lambeth,E01003165,305,39,37,85,246
E09000022,Lambeth,E01003166,378,79,79,140,344
E09000022,Lambeth,E01003167,321,48,32,110,170
E09000022,Lambeth,E01003168,287,34,56,60,210
E09000022,Lambeth,E01003169,370,107,83,131,380
E09000022,Lambeth,E01003170,343,32,42,117,263
E09000022,Lambeth,E01003171,260,94,48,74,351
E09000022,Lambeth,E01003172,301,62,92,74,286
E09000022,Lambeth,E01003173,239,85,38,99,233
E09000022,Lambeth,E01003174,347,55,99,57,271
E09000022,Lambeth,E01003175,244,43,95,39,187
E09000022,Lambeth,E01003176,322,71,82,48,257
E09000022,Lambeth,E01003177,281,86,52,77,207
E09000022,Lambeth,E01003178,255,84,31,90,252
E09000022,Lambeth,E01003179,254,50,102,42,206
E09000022,Lambeth,E01003180,245,51,49,56,261
E09000022,Lambeth,E01003181,225,69,74,58,218
E09000022,Lambeth,E01003182,252,94,72,63,239
E09000022,Lambeth,E01003183,213,67,67,47,237
E09000022,Lambeth,E01003184,222,38,89,26,211
E09000022,Lambeth,E01003185,271,107,51,66,273
E09000022,Lambeth,E01003186,350,99,50,95,282
E09000022,Lambeth,E01003187,207,42,90,36,251
E09000022,Lambeth,E01003188,215,44,59,44,192
E09000023,Lewisham,E01003189,308,25,58,48,185
E09000023,Lewisham,E01003190,316,41,93,94,265
E09000023,Lewisham,E01003191,258,26,91,40,250
E09000023,Lewisham,E01003192,288,35,67,30,321
E09000023,Lewisham,E01003193,297,33,42,54,240
E09000023,Lewisham,E01003194,300,42,57,48,269
E09000023,Lewisham,E01003195,281,37,48,65,206
E09000023,Lewisham,E01003196,289,28,59,66,182
E09000023,Lewisham,E01003197,290,20,73,51,191
E09000023,Lewisham,E01003198,279,24,29,96,211
E09000023,Lewisham,E01003199,344,45,40,97,275
E09000023,Lewisham,E01003200,305,36,20,103,292
E09000023,Lewisham,E01003201,279,53,54,62,232
E09000023,Lewisham,E01003202,322,45,13,96,288
E09000023,Lewisham,E01003203,274,42,38,97,529
E09000023,Lewisham,E01003204,247,30,47,88,191
E09000023,Lewisham,E01003205,198,17,107,23,157
E09000023,Lewisham,E01003206,308,31,24,118,217
E09000023,Lewisham,E01003207,236,46,44,31,258
E09000023,Lewisham,E01003209,244,124,63,71,276
E09000023,Lewisham,E01003210,275,71,42,99,363
E09000023,Lewisham,E01003211,245,62,43,97,306
E09000023,Lewisham,E01003212,287,128,57,98,297
E09000023,Lewisham,E01003213,308,76,38,115,276
E09000023,Lewisham,E01003214,277,64,66,89,249
E09000023,Lewisham,E01003215,209,111,32,98,216
E09000023,Lewisham,E01003216,243,78,56,81,231
E09000023,Lewisham,E01003217,297,37,61,69,158
E09000023,Lewisham,E01003218,248,35,60,68,128
E09000023,Lewisham,E01003219,284,37,38,76,196
E09000023,Lewisham,E01003220,243,42,43,79,197
E09000023,Lewisham,E01003221,274,64,86,94,251
E09000023,Lewisham,E01003222,275,36,64,60,194
E09000023,Lewisham,E01003223,290,42,50,79,142
E09000023,Lewisham,E01003224,273,45,68,76,164
E09000023,Lewisham,E01003225,291,34,47,103,115
E09000023,Lewisham,E01003226,305,73,38,102,191
E09000023,Lewisham,E01003227,265,60,31,116,206
E09000023,Lewisham,E01003228,301,31,29,108,204
E09000023,Lewisham,E01003229,253,51,55,60,323
E09000023,Lewisham,E01003230,300,55,89,110,312
E09000023,Lewisham,E01003231,238,68,57,86,238
E09000023,Lewisham,E01003232,298,59,38,101,153
E09000023,Lewisham,E01003233,289,59,41,109,171
E09000023,Lewisham,E01003235,246,13,28,47,189
E09000023,Lewisham,E01003236,309,19,70,62,188
E09000023,Lewisham,E01003237,317,16,56,40,179
E09000023,Lewisham,E01003238,280,17,59,49,160
E09000023,Lewisham,E01003239,269,13,58,52,172
