lad22cd,lad22nm,lsoa21cd,"All adults in household have English in England, or English or Welsh in Wales as a main language","At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","No people in household have English in England, or English or Welsh in Wales as a main language"
E09000003,Barnet,E01000165,465,113,22,107
E09000003,Barnet,E01000166,547,40,16,45
E09000003,Barnet,E01000167,457,31,14,20
E09000003,Barnet,E01000168,474,50,9,43
E09000003,Barnet,E01000169,560,38,7,65
E09000003,Barnet,E01000170,553,57,7,39
E09000003,Barnet,E01000171,691,44,23,98
E09000003,Barnet,E01000172,500,60,9,33
E09000003,Barnet,E01000173,535,42,10,30
E09000003,Barnet,E01000174,633,52,18,63
E09000003,Barnet,E01000175,532,47,7,32
E09000003,Barnet,E01000176,549,67,12,70
E09000003,Barnet,E01000177,545,82,6,57
E09000003,Barnet,E01000178,535,91,11,58
E09000003,Barnet,E01000179,606,72,7,78
E09000003,Barnet,E01000180,515,88,15,71
E09000003,Barnet,E01000181,508,95,4,62
E09000003,Barnet,E01000182,579,85,3,79
E09000003,Barnet,E01000183,475,58,7,44
E09000003,Barnet,E01000184,362,61,21,59
E09000003,Barnet,E01000185,387,73,33,113
E09000003,Barnet,E01000186,424,39,7,31
E09000003,Barnet,E01000187,469,60,13,51
E09000003,Barnet,E01000188,413,62,7,34
E09000003,Barnet,E01000189,470,70,43,128
E09000003,Barnet,E01000190,440,45,21,40
E09000003,Barnet,E01000191,433,50,8,39
E09000003,Barnet,E01000192,490,88,12,93
E09000003,Barnet,E01000193,433,69,24,68
E09000003,Barnet,E01000194,371,96,21,122
E09000003,Barnet,E01000195,483,71,24,119
E09000003,Barnet,E01000196,575,114,13,194
E09000003,Barnet,E01000197,454,112,17,124
E09000003,Barnet,E01000198,504,79,22,80
E09000003,Barnet,E01000199,522,68,13,68
E09000003,Barnet,E01000200,657,85,9,112
E09000003,Barnet,E01000201,391,70,8,48
E09000003,Barnet,E01000202,457,85,12,94
E09000003,Barnet,E01000203,383,95,32,103
E09000003,Barnet,E01000204,506,82,13,86
E09000003,Barnet,E01000205,502,66,8,43
E09000003,Barnet,E01000206,383,72,9,50
E09000003,Barnet,E01000207,472,70,9,57
E09000003,Barnet,E01000208,483,72,14,50
E09000003,Barnet,E01000209,665,37,9,36
E09000003,Barnet,E01000210,478,59,12,51
E09000003,Barnet,E01000211,519,122,28,192
E09000003,Barnet,E01000212,500,91,9,72
E09000003,Barnet,E01000213,387,48,5,25
