lad22cd,lad22nm,category,count_21,count_11,change
E09000003,Barnet,Europe: Other Europe: Rest of Europe: Turkey,1042,562,480
E09000003,Barnet,Europe: United Kingdom,282058,260916,21142
E09000003,Barnet,Middle East and Asia: Central Asia,192,146,46
E09000003,Barnet,Middle East and Asia: Eastern Asia: China,1586,1450,136
E09000003,Barnet,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),344,87,257
E09000003,Barnet,Middle East and Asia: Eastern Asia: Japan,1898,2782,-884
E09000003,Barnet,Middle East and Asia: Eastern Asia: Other Eastern Asia,462,530,-68
E09000003,Barnet,Middle East and Asia: Middle East: Iran,1650,1501,149
E09000003,Barnet,Middle East and Asia: Middle East: Iraq,153,130,23
E09000003,Barnet,Middle East and Asia: Middle East: Other Middle East,1510,1635,-125
E09000003,Barnet,Middle East and Asia: South-East Asia: Malaysia,841,1093,-252
E09000003,Barnet,Middle East and Asia: South-East Asia: Other South-East Asia,432,569,-137
E09000003,Barnet,Middle East and Asia: South-East Asia: Philippines,1520,1635,-115
E09000003,Barnet,Middle East and Asia: South-East Asia: Singapore,169,154,15
E09000003,Barnet,Middle East and Asia: Southern Asia: Afghanistan,574,877,-303
E09000003,Barnet,Middle East and Asia: Southern Asia: Bangladesh,217,235,-18
E09000003,Barnet,Middle East and Asia: Southern Asia: India,3007,3305,-298
E09000003,Barnet,Middle East and Asia: Southern Asia: Other Southern Asia,358,705,-347
E09000003,Barnet,Middle East and Asia: Southern Asia: Pakistan,648,919,-271
E09000003,Barnet,Middle East and Asia: Southern Asia: Sri Lanka,533,955,-422
E09000003,Barnet,No passport held,16789,19813,-3024
E09000003,Barnet,The Americas and the Caribbean: Central America,112,46,66
E09000003,Barnet,The Americas and the Caribbean: North America: Canada,443,488,-45
E09000003,Barnet,The Americas and the Caribbean: North America: United States,1431,1594,-163
E09000003,Barnet,The Americas and the Caribbean: South America,1608,1132,476
E09000003,Barnet,The Americas and the Caribbean: The Caribbean: Jamaica,152,225,-73
E09000003,Barnet,The Americas and the Caribbean: The Caribbean: Other Caribbean,158,208,-50
E09000004,Bexley,Africa: Central and Western Africa: Ghana,473,501,-28
E09000004,Bexley,Africa: Central and Western Africa: Nigeria,3294,3524,-230
E09000004,Bexley,Africa: Central and Western Africa: Other Central and Western Africa,245,284,-39
E09000004,Bexley,Africa: North Africa,105,79,26
E09000004,Bexley,Africa: South and Eastern Africa: Kenya,42,86,-44
E09000004,Bexley,Africa: South and Eastern Africa: Other South and Eastern Africa,208,305,-97
E09000004,Bexley,Africa: South and Eastern Africa: Somalia,1,0,1
E09000004,Bexley,Africa: South and Eastern Africa: South Africa,172,251,-79
E09000004,Bexley,Africa: South and Eastern Africa: Zimbabwe,165,405,-240
E09000004,Bexley,Antarctica and Oceania: Australasia: Australia,116,117,-1
E09000004,Bexley,Antarctica and Oceania: Australasia: New Zealand,60,58,2
E09000004,Bexley,Antarctica and Oceania: Other Antarctica and Oceania,5,0,5
E09000004,Bexley,British Overseas Territories,2,2,0
E09000004,Bexley,Europe: Ireland,2052,1838,214
E09000004,Bexley,Europe: Other Europe: EU Member countries: France,714,517,197
E09000004,Bexley,Europe: Other Europe: EU Member countries: Germany,545,389,156
E09000004,Bexley,Europe: Other Europe: EU Member countries: Italy,1439,459,980
E09000004,Bexley,Europe: Other Europe: EU Member countries: Lithuania,1498,725,773
E09000004,Bexley,Europe: Other Europe: EU Member countries: Other EU countries,3765,1659,2106
E09000004,Bexley,Europe: Other Europe: EU Member countries: Poland,1976,1006,970
E09000004,Bexley,Europe: Other Europe: EU Member countries: Portugal,789,327,462
E09000004,Bexley,Europe: Other Europe: EU Member countries: Romania,2668,246,2422
E09000004,Bexley,Europe: Other Europe: EU Member countries: Spain,594,226,368
E09000004,Bexley,Europe: Other Europe: Rest of Europe: Other Europe,695,312,383
E09000004,Bexley,Europe: Other Europe: Rest of Europe: Turkey,199,123,76
E09000004,Bexley,Europe: United Kingdom,197062,186904,10158
E09000004,Bexley,Middle East and Asia: Central Asia,91,27,64
E09000004,Bexley,Middle East and Asia: Eastern Asia: China,515,214,301
E09000004,Bexley,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),20,13,7
E09000004,Bexley,Middle East and Asia: Eastern Asia: Japan,85,61,24
E09000004,Bexley,Middle East and Asia: Eastern Asia: Other Eastern Asia,33,13,20
E09000004,Bexley,Middle East and Asia: Middle East: Iran,15,10,5
E09000004,Bexley,Middle East and Asia: Middle East: Iraq,18,7,11
E09000004,Bexley,Middle East and Asia: Middle East: Other Middle East,31,26,5
E09000004,Bexley,Middle East and Asia: South-East Asia: Malaysia,146,115,31
E09000004,Bexley,Middle East and Asia: South-East Asia: Other South-East Asia,152,175,-23
E09000004,Bexley,Middle East and Asia: South-East Asia: Philippines,141,132,9
E09000004,Bexley,Middle East and Asia: South-East Asia: Singapore,30,19,11
E09000004,Bexley,Middle East and Asia: Southern Asia: Afghanistan,55,29,26
E09000004,Bexley,Middle East and Asia: Southern Asia: Bangladesh,194,115,79
E09000004,Bexley,Middle East and Asia: Southern Asia: India,1797,1047,750
E09000004,Bexley,Middle East and Asia: Southern Asia: Other Southern Asia,548,183,365
E09000004,Bexley,Middle East and Asia: Southern Asia: Pakistan,197,108,89
E09000004,Bexley,Middle East and Asia: Southern Asia: Sri Lanka,296,293,3
E09000004,Bexley,No passport held,22353,28433,-6080
E09000004,Bexley,The Americas and the Caribbean: Central America,18,7,11
E09000004,Bexley,The Americas and the Caribbean: North America: Canada,90,83,7
E09000004,Bexley,The Americas and the Caribbean: North America: United States,235,192,43
E09000004,Bexley,The Americas and the Caribbean: South America,328,123,205
E09000004,Bexley,The Americas and the Caribbean: The Caribbean: Jamaica,124,149,-25
E09000004,Bexley,The Americas and the Caribbean: The Caribbean: Other Caribbean,79,80,-1
E09000005,Brent,Africa: Central and Western Africa: Ghana,704,1195,-491
E09000005,Brent,Africa: Central and Western Africa: Nigeria,774,1202,-428
E09000005,Brent,Africa: Central and Western Africa: Other Central and Western Africa,298,496,-198
E09000005,Brent,Africa: North Africa,1248,754,494
E09000005,Brent,Africa: South and Eastern Africa: Kenya,137,314,-177
E09000005,Brent,Africa: South and Eastern Africa: Other South and Eastern Africa,407,609,-202
E09000005,Brent,Africa: South and Eastern Africa: Somalia,88,68,20
E09000005,Brent,Africa: South and Eastern Africa: South Africa,162,410,-248
E09000005,Brent,Africa: South and Eastern Africa: Zimbabwe,82,167,-85
E09000005,Brent,Antarctica and Oceania: Australasia: Australia,526,946,-420
E09000005,Brent,Antarctica and Oceania: Australasia: New Zealand,248,737,-489
E09000005,Brent,Antarctica and Oceania: Other Antarctica and Oceania,19,60,-41
E09000005,Brent,British Overseas Territories,2,21,-19
E09000005,Brent,Europe: Ireland,7208,10054,-2846
E09000005,Brent,Europe: Other Europe: EU Member countries: France,2859,2451,408
E09000005,Brent,Europe: Other Europe: EU Member countries: Germany,1323,1573,-250
E09000005,Brent,Europe: Other Europe: EU Member countries: Italy,6976,3778,3198
E09000005,Brent,Europe: Other Europe: EU Member countries: Lithuania,915,1141,-226
E09000005,Brent,Europe: Other Europe: EU Member countries: Other EU countries,11459,9287,2172
E09000005,Brent,Europe: Other Europe: EU Member countries: Poland,7251,10586,-3335
E09000005,Brent,Europe: Other Europe: EU Member countries: Portugal,14218,5669,8549
E09000005,Brent,Europe: Other Europe: EU Member countries: Romania,17849,6211,11638
E09000005,Brent,Europe: Other Europe: EU Member countries: Spain,3883,1906,1977
