lad22cd,lad22nm,category,count_21,count_11,change
E09000012,Hackney,Arrived in the UK: Aged 45 to 59 years,3837,2958,879
E09000012,Hackney,Arrived in the UK: Aged 5 to 7 years,3395,3824,-429
E09000012,Hackney,Arrived in the UK: Aged 60 to 64 years,424,339,85
E09000012,Hackney,Arrived in the UK: Aged 65 to 74 years,453,330,123
E09000012,Hackney,Arrived in the UK: Aged 75 to 84 years,127,101,26
E09000012,Hackney,Arrived in the UK: Aged 8 to 9 years,2230,2511,-281
E09000012,Hackney,Arrived in the UK: Aged 85 to 89 years,21,23,-2
E09000012,Hackney,Arrived in the UK: Aged 90 years and over,7,3,4
E09000012,Hackney,Born in the UK,156219,150030,6189
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 0 to 4 years,6568,6606,-38
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 10 to 14 years,3947,4170,-223
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 15 years,1096,1143,-47
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 16 to 17 years,3187,3077,110
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 18 to 19 years,5141,4537,604
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 20 to 24 years,17402,17440,-38
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 25 to 29 years,17552,17734,-182
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 30 to 44 years,19073,15691,3382
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 45 to 59 years,4088,2679,1409
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 5 to 7 years,2593,2544,49
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 60 to 64 years,439,355,84
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 65 to 74 years,462,335,127
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 75 to 84 years,147,80,67
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 8 to 9 years,1617,1627,-10
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 85 to 89 years,19,18,1
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 90 years and over,9,3,6
E09000013,Hammersmith and Fulham,Born in the UK,99818,104454,-4636
E09000014,Haringey,Arrived in the UK: Aged 0 to 4 years,9006,9463,-457
E09000014,Haringey,Arrived in the UK: Aged 10 to 14 years,6979,7152,-173
E09000014,Haringey,Arrived in the UK: Aged 15 years,1745,1768,-23
E09000014,Haringey,Arrived in the UK: Aged 16 to 17 years,4780,4985,-205
E09000014,Haringey,Arrived in the UK: Aged 18 to 19 years,8016,7868,148
E09000014,Haringey,Arrived in the UK: Aged 20 to 24 years,24634,25953,-1319
E09000014,Haringey,Arrived in the UK: Aged 25 to 29 years,23045,22517,528
E09000014,Haringey,Arrived in the UK: Aged 30 to 44 years,27958,22075,5883
E09000014,Haringey,Arrived in the UK: Aged 45 to 59 years,6644,3622,3022
E09000014,Haringey,Arrived in the UK: Aged 5 to 7 years,4218,4401,-183
E09000014,Haringey,Arrived in the UK: Aged 60 to 64 years,625,457,168
E09000014,Haringey,Arrived in the UK: Aged 65 to 74 years,613,426,187
E09000014,Haringey,Arrived in the UK: Aged 75 to 84 years,177,113,64
E09000014,Haringey,Arrived in the UK: Aged 8 to 9 years,2663,2877,-214
E09000014,Haringey,Arrived in the UK: Aged 85 to 89 years,14,15,-1
E09000014,Haringey,Arrived in the UK: Aged 90 years and over,4,6,-2
E09000014,Haringey,Born in the UK,143117,141228,1889
E09000015,Harrow,Arrived in the UK: Aged 0 to 4 years,11108,9609,1499
E09000015,Harrow,Arrived in the UK: Aged 10 to 14 years,9656,8668,988
E09000015,Harrow,Arrived in the UK: Aged 15 years,2212,2050,162
E09000015,Harrow,Arrived in the UK: Aged 16 to 17 years,5929,5639,290
E09000015,Harrow,Arrived in the UK: Aged 18 to 19 years,9054,7604,1450
