lad22cd,lad22nm,category,count_21,count_11,change
E09000003,Barnet,Africa: South and Eastern Africa: Somalia,2276,2345,-69
E09000003,Barnet,Africa: South and Eastern Africa: South Africa,3232,3518,-286
E09000003,Barnet,Africa: South and Eastern Africa: Zimbabwe,729,784,-55
E09000003,Barnet,Antarctica and Oceania: Australasia: Australia,1079,1207,-128
E09000003,Barnet,Antarctica and Oceania: Australasia: Other Australasia,418,533,-115
E09000003,Barnet,Antarctica and Oceania: Other Oceania and Antarctica,82,76,6
E09000003,Barnet,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,1148,1076,72
E09000003,Barnet,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,10793,9776,1017
E09000003,Barnet,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,7551,8614,-1063
E09000003,Barnet,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,13430,4475,8955
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: France,2109,1862,247
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,1887,2304,-417
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,4681,6020,-1339
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,4533,2747,1786
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,5405,3773,1632
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),2248,1430,818
E09000003,Barnet,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),1987,1086,901
E09000003,Barnet,Europe: Other Europe: Rest of Europe: Other Europe,11204,5799,5405
E09000003,Barnet,Europe: Other Europe: Rest of Europe: Turkey,2811,1952,859
E09000003,Barnet,Europe: United Kingdom: England,215835,211249,4586
E09000003,Barnet,Europe: United Kingdom: Great Britain not otherwise specified,2,9,-7
E09000003,Barnet,Europe: United Kingdom: Northern Ireland,998,1247,-249
E09000003,Barnet,Europe: United Kingdom: Scotland,2808,3280,-472
E09000003,Barnet,Europe: United Kingdom: United Kingdom not otherwise specified,24,57,-33
E09000003,Barnet,Europe: United Kingdom: Wales,1626,2048,-422
E09000003,Barnet,Middle East and Asia: Central Asia,518,224,294
E09000003,Barnet,Middle East and Asia: Eastern Asia: China,3074,2598,476
E09000003,Barnet,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),2400,1860,540
E09000003,Barnet,Middle East and Asia: Eastern Asia: Other Eastern Asia,2821,3413,-592
E09000003,Barnet,Middle East and Asia: Middle East: Iran,11227,7242,3985
E09000003,Barnet,Middle East and Asia: Middle East: Other Middle East,9843,7829,2014
E09000003,Barnet,Middle East and Asia: South-East Asia: Other South-East Asia,3110,3075,35
E09000003,Barnet,Middle East and Asia: South-East Asia: Philippines,3902,2825,1077
E09000003,Barnet,Middle East and Asia: Southern Asia: Bangladesh,1282,1119,163
E09000003,Barnet,Middle East and Asia: Southern Asia: India,11335,10912,423
E09000003,Barnet,Middle East and Asia: Southern Asia: Other Southern Asia,4493,4018,475
E09000003,Barnet,Middle East and Asia: Southern Asia: Pakistan,3042,2719,323
E09000003,Barnet,Middle East and Asia: Southern Asia: Sri Lanka,2564,2810,-246
E09000003,Barnet,Other,1,1,0
E09000003,Barnet,The Americas and the Caribbean: Central America: All Central American countries,291,155,136
E09000003,Barnet,The Americas and the Caribbean: North America: Other North America,708,663,45
E09000003,Barnet,The Americas and the Caribbean: North America: United States,2470,2246,224
E09000003,Barnet,The Americas and the Caribbean: South America: All South American countries,4758,3036,1722
E09000003,Barnet,The Americas and the Caribbean: The Caribbean: Jamaica,872,891,-19
E09000003,Barnet,The Americas and the Caribbean: The Caribbean: Other Caribbean,886,1007,-121
E09000004,Bexley,Africa: Africa not otherwise specified,30,80,-50
E09000004,Bexley,Africa: Central and Western Africa: Ghana,1640,1169,471
E09000004,Bexley,Africa: Central and Western Africa: Nigeria,8831,6011,2820
E09000004,Bexley,Africa: Central and Western Africa: Other Central and Western Africa,1400,925,475
E09000004,Bexley,Africa: North Africa,465,317,148
E09000004,Bexley,Africa: South and Eastern Africa: Kenya,826,835,-9
E09000004,Bexley,Africa: South and Eastern Africa: Other South and Eastern Africa,1470,1253,217
E09000004,Bexley,Africa: South and Eastern Africa: Somalia,90,118,-28
E09000004,Bexley,Africa: South and Eastern Africa: South Africa,679,610,69
E09000004,Bexley,Africa: South and Eastern Africa: Zimbabwe,628,789,-161
E09000004,Bexley,Antarctica and Oceania: Australasia: Australia,275,246,29
E09000004,Bexley,Antarctica and Oceania: Australasia: Other Australasia,126,109,17
E09000004,Bexley,Antarctica and Oceania: Other Oceania and Antarctica,25,17,8
E09000004,Bexley,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,1280,629,651
E09000004,Bexley,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,2979,1544,1435
E09000004,Bexley,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,2082,1070,1012
E09000004,Bexley,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,2415,242,2173
E09000004,Bexley,Europe: Other Europe: EU countries: Member countries in March 2001: France,533,363,170
E09000004,Bexley,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,629,623,6
E09000004,Bexley,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,1871,2103,-232
E09000004,Bexley,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,1018,416,602
E09000004,Bexley,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,866,650,216
E09000004,Bexley,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),483,227,256
E09000004,Bexley,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),483,232,251
E09000004,Bexley,Europe: Other Europe: Rest of Europe: Other Europe,2483,979,1504
E09000004,Bexley,Europe: Other Europe: Rest of Europe: Turkey,655,402,253
E09000004,Bexley,Europe: United Kingdom: England,191843,195881,-4038
E09000004,Bexley,Europe: United Kingdom: Great Britain not otherwise specified,3,11,-8
E09000004,Bexley,Europe: United Kingdom: Northern Ireland,479,563,-84
E09000004,Bexley,Europe: United Kingdom: Scotland,1464,1785,-321
E09000004,Bexley,Europe: United Kingdom: United Kingdom not otherwise specified,14,26,-12
E09000004,Bexley,Europe: United Kingdom: Wales,910,1101,-191
E09000004,Bexley,Middle East and Asia: Central Asia,165,58,107
E09000004,Bexley,Middle East and Asia: Eastern Asia: China,1143,516,627
E09000004,Bexley,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),744,557,187
E09000004,Bexley,Middle East and Asia: Eastern Asia: Other Eastern Asia,181,90,91
E09000004,Bexley,Middle East and Asia: Middle East: Iran,178,144,34
E09000004,Bexley,Middle East and Asia: Middle East: Other Middle East,496,343,153
E09000004,Bexley,Middle East and Asia: South-East Asia: Other South-East Asia,1462,1166,296
E09000004,Bexley,Middle East and Asia: South-East Asia: Philippines,411,280,131
E09000004,Bexley,Middle East and Asia: Southern Asia: Bangladesh,829,390,439
E09000004,Bexley,Middle East and Asia: Southern Asia: India,5488,3403,2085
E09000004,Bexley,Middle East and Asia: Southern Asia: Other Southern Asia,1502,296,1206
E09000004,Bexley,Middle East and Asia: Southern Asia: Pakistan,685,367,318
E09000004,Bexley,Middle East and Asia: Southern Asia: Sri Lanka,1309,998,311
E09000004,Bexley,Other,1,0,1
E09000004,Bexley,The Americas and the Caribbean: Central America: All Central American countries,35,20,15
E09000004,Bexley,The Americas and the Caribbean: North America: Other North America,163,169,-6
E09000004,Bexley,The Americas and the Caribbean: North America: United States,511,356,155
E09000004,Bexley,The Americas and the Caribbean: South America: All South American countries,1037,503,534
E09000004,Bexley,The Americas and the Caribbean: The Caribbean: Jamaica,691,579,112
E09000004,Bexley,The Americas and the Caribbean: The Caribbean: Other Caribbean,466,436,30
E09000005,Brent,Africa: Africa not otherwise specified,126,541,-415
E09000005,Brent,Africa: Central and Western Africa: Ghana,2358,2680,-322
E09000005,Brent,Africa: Central and Western Africa: Nigeria,2559,2911,-352
E09000005,Brent,Africa: Central and Western Africa: Other Central and Western Africa,2158,2038,120
E09000005,Brent,Africa: North Africa,5304,3591,1713
E09000005,Brent,Africa: South and Eastern Africa: Kenya,6370,7382,-1012
E09000005,Brent,Africa: South and Eastern Africa: Other South and Eastern Africa,6730,7023,-293
E09000005,Brent,Africa: South and Eastern Africa: Somalia,6678,6855,-177
E09000005,Brent,Africa: South and Eastern Africa: South Africa,862,1123,-261
E09000005,Brent,Africa: South and Eastern Africa: Zimbabwe,372,395,-23
E09000005,Brent,Antarctica and Oceania: Australasia: Australia,900,1315,-415
E09000005,Brent,Antarctica and Oceania: Australasia: Other Australasia,498,1056,-558
E09000005,Brent,Antarctica and Oceania: Other Oceania and Antarctica,199,230,-31
E09000005,Brent,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,830,1064,-234
E09000005,Brent,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,5240,4810,430
E09000005,Brent,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,7235,10575,-3340
E09000005,Brent,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,17722,6182,11540
E09000005,Brent,Europe: Other Europe: EU countries: Member countries in March 2001: France,2339,1762,577
E09000005,Brent,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,1211,1385,-174
E09000005,Brent,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland,5850,8874,-3024
E09000005,Brent,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,4662,2337,2325
E09000005,Brent,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,3605,3011,594
E09000005,Brent,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),3528,3076,452
E09000005,Brent,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),2670,1447,1223
E09000005,Brent,Europe: Other Europe: Rest of Europe: Other Europe,5193,3184,2009
E09000005,Brent,Europe: Other Europe: Rest of Europe: Turkey,669,372,297
E09000005,Brent,Europe: United Kingdom: England,145986,135712,10274
E09000005,Brent,Europe: United Kingdom: Great Britain not otherwise specified,5,29,-24
E09000005,Brent,Europe: United Kingdom: Northern Ireland,832,999,-167
E09000005,Brent,Europe: United Kingdom: Scotland,1405,1838,-433
E09000005,Brent,Europe: United Kingdom: United Kingdom not otherwise specified,52,102,-50
E09000005,Brent,Europe: United Kingdom: Wales,962,1108,-146
E09000005,Brent,Middle East and Asia: Central Asia,113,177,-64
E09000005,Brent,Middle East and Asia: Eastern Asia: China,1328,1015,313
E09000005,Brent,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),891,847,44
E09000005,Brent,Middle East and Asia: Eastern Asia: Other Eastern Asia,685,672,13
E09000005,Brent,Middle East and Asia: Middle East: Iran,2192,2085,107
E09000005,Brent,Middle East and Asia: Middle East: Other Middle East,11592,7710,3882
E09000005,Brent,Middle East and Asia: South-East Asia: Other South-East Asia,1893,2132,-239
E09000005,Brent,Middle East and Asia: South-East Asia: Philippines,4415,3564,851
E09000005,Brent,Middle East and Asia: Southern Asia: Bangladesh,958,875,83
E09000005,Brent,Middle East and Asia: Southern Asia: India,35203,28548,6655
E09000005,Brent,Middle East and Asia: Southern Asia: Other Southern Asia,5009,5987,-978
E09000005,Brent,Middle East and Asia: Southern Asia: Pakistan,6585,6809,-224
E09000005,Brent,Middle East and Asia: Southern Asia: Sri Lanka,5672,7702,-2030
E09000005,Brent,Other,0,0,0
E09000005,Brent,The Americas and the Caribbean: Central America: All Central American countries,200,133,67
E09000005,Brent,The Americas and the Caribbean: North America: Other North America,502,430,72
E09000005,Brent,The Americas and the Caribbean: North America: United States,1501,1135,366
E09000005,Brent,The Americas and the Caribbean: South America: All South American countries,7606,5289,2317
E09000005,Brent,The Americas and the Caribbean: The Caribbean: Jamaica,5423,7189,-1766
E09000005,Brent,The Americas and the Caribbean: The Caribbean: Other Caribbean,2939,3909,-970
E09000006,Bromley,Africa: Africa not otherwise specified,13,82,-69
E09000006,Bromley,Africa: Central and Western Africa: Ghana,1128,863,265
E09000006,Bromley,Africa: Central and Western Africa: Nigeria,3515,2299,1216
E09000006,Bromley,Africa: Central and Western Africa: Other Central and Western Africa,1273,931,342
E09000006,Bromley,Africa: North Africa,1006,787,219
E09000006,Bromley,Africa: South and Eastern Africa: Kenya,846,832,14
E09000006,Bromley,Africa: South and Eastern Africa: Other South and Eastern Africa,1809,1629,180
E09000006,Bromley,Africa: South and Eastern Africa: Somalia,257,288,-31
E09000006,Bromley,Africa: South and Eastern Africa: South Africa,1939,1801,138
E09000006,Bromley,Africa: South and Eastern Africa: Zimbabwe,824,825,-1
E09000006,Bromley,Antarctica and Oceania: Australasia: Australia,1026,852,174
E09000006,Bromley,Antarctica and Oceania: Australasia: Other Australasia,544,503,41
E09000006,Bromley,Antarctica and Oceania: Other Oceania and Antarctica,45,16,29
E09000006,Bromley,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,1116,539,577
