lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000009,Main language is not English (English or Welsh in Wales): Cannot speak English,27
E09000002,Barking and Dagenham,E01000011,Main language is English (English or Welsh in Wales),920
E09000002,Barking and Dagenham,E01000011,Main language is not English (English or Welsh in Wales): Can speak English very well,232
E09000002,Barking and Dagenham,E01000011,Main language is not English (English or Welsh in Wales): Can speak English well,271
E09000002,Barking and Dagenham,E01000011,Main language is not English (English or Welsh in Wales): Cannot speak English well,196
E09000002,Barking and Dagenham,E01000011,Main language is not English (English or Welsh in Wales): Cannot speak English,22
E09000002,Barking and Dagenham,E01000012,Main language is English (English or Welsh in Wales),1405
E09000002,Barking and Dagenham,E01000012,Main language is not English (English or Welsh in Wales): Can speak English very well,246
E09000002,Barking and Dagenham,E01000012,Main language is not English (English or Welsh in Wales): Can speak English well,337
E09000002,Barking and Dagenham,E01000012,Main language is not English (English or Welsh in Wales): Cannot speak English well,157
E09000002,Barking and Dagenham,E01000012,Main language is not English (English or Welsh in Wales): Cannot speak English,29
E09000002,Barking and Dagenham,E01000013,Main language is English (English or Welsh in Wales),1375
E09000002,Barking and Dagenham,E01000013,Main language is not English (English or Welsh in Wales): Can speak English very well,143
E09000002,Barking and Dagenham,E01000013,Main language is not English (English or Welsh in Wales): Can speak English well,213
E09000002,Barking and Dagenham,E01000013,Main language is not English (English or Welsh in Wales): Cannot speak English well,75
E09000002,Barking and Dagenham,E01000013,Main language is not English (English or Welsh in Wales): Cannot speak English,5
E09000002,Barking and Dagenham,E01000014,Main language is English (English or Welsh in Wales),1288
E09000002,Barking and Dagenham,E01000014,Main language is not English (English or Welsh in Wales): Can speak English very well,135
E09000002,Barking and Dagenham,E01000014,Main language is not English (English or Welsh in Wales): Can speak English well,153
E09000002,Barking and Dagenham,E01000014,Main language is not English (English or Welsh in Wales): Cannot speak English well,83
E09000002,Barking and Dagenham,E01000014,Main language is not English (English or Welsh in Wales): Cannot speak English,13
E09000002,Barking and Dagenham,E01000015,Main language is English (English or Welsh in Wales),1776
E09000002,Barking and Dagenham,E01000015,Main language is not English (English or Welsh in Wales): Can speak English very well,190
E09000002,Barking and Dagenham,E01000015,Main language is not English (English or Welsh in Wales): Can speak English well,214
E09000002,Barking and Dagenham,E01000015,Main language is not English (English or Welsh in Wales): Cannot speak English well,105
E09000002,Barking and Dagenham,E01000015,Main language is not English (English or Welsh in Wales): Cannot speak English,10
E09000002,Barking and Dagenham,E01000016,Main language is English (English or Welsh in Wales),1402
E09000002,Barking and Dagenham,E01000016,Main language is not English (English or Welsh in Wales): Can speak English very well,164
E09000002,Barking and Dagenham,E01000016,Main language is not English (English or Welsh in Wales): Can speak English well,158
E09000002,Barking and Dagenham,E01000016,Main language is not English (English or Welsh in Wales): Cannot speak English well,51
E09000002,Barking and Dagenham,E01000016,Main language is not English (English or Welsh in Wales): Cannot speak English,5
E09000002,Barking and Dagenham,E01000017,Main language is English (English or Welsh in Wales),1334
E09000002,Barking and Dagenham,E01000017,Main language is not English (English or Welsh in Wales): Can speak English very well,123
E09000002,Barking and Dagenham,E01000017,Main language is not English (English or Welsh in Wales): Can speak English well,140
E09000002,Barking and Dagenham,E01000017,Main language is not English (English or Welsh in Wales): Cannot speak English well,65
E09000002,Barking and Dagenham,E01000017,Main language is not English (English or Welsh in Wales): Cannot speak English,11
E09000002,Barking and Dagenham,E01000018,Main language is English (English or Welsh in Wales),1314
E09000002,Barking and Dagenham,E01000018,Main language is not English (English or Welsh in Wales): Can speak English very well,152
E09000002,Barking and Dagenham,E01000018,Main language is not English (English or Welsh in Wales): Can speak English well,178
E09000002,Barking and Dagenham,E01000018,Main language is not English (English or Welsh in Wales): Cannot speak English well,53
E09000002,Barking and Dagenham,E01000018,Main language is not English (English or Welsh in Wales): Cannot speak English,7
E09000002,Barking and Dagenham,E01000019,Main language is English (English or Welsh in Wales),1169
E09000002,Barking and Dagenham,E01000019,Main language is not English (English or Welsh in Wales): Can speak English very well,144
E09000002,Barking and Dagenham,E01000019,Main language is not English (English or Welsh in Wales): Can speak English well,187
E09000002,Barking and Dagenham,E01000019,Main language is not English (English or Welsh in Wales): Cannot speak English well,83
E09000002,Barking and Dagenham,E01000019,Main language is not English (English or Welsh in Wales): Cannot speak English,7
E09000002,Barking and Dagenham,E01000020,Main language is English (English or Welsh in Wales),1641
E09000002,Barking and Dagenham,E01000020,Main language is not English (English or Welsh in Wales): Can speak English very well,163
E09000002,Barking and Dagenham,E01000020,Main language is not English (English or Welsh in Wales): Can speak English well,201
E09000002,Barking and Dagenham,E01000020,Main language is not English (English or Welsh in Wales): Cannot speak English well,79
E09000002,Barking and Dagenham,E01000020,Main language is not English (English or Welsh in Wales): Cannot speak English,9
E09000002,Barking and Dagenham,E01000021,Main language is English (English or Welsh in Wales),1197
E09000002,Barking and Dagenham,E01000021,Main language is not English (English or Welsh in Wales): Can speak English very well,164
E09000002,Barking and Dagenham,E01000021,Main language is not English (English or Welsh in Wales): Can speak English well,179
E09000002,Barking and Dagenham,E01000021,Main language is not English (English or Welsh in Wales): Cannot speak English well,77
E09000002,Barking and Dagenham,E01000021,Main language is not English (English or Welsh in Wales): Cannot speak English,12
