lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000042,Muslim,522
E09000002,Barking and Dagenham,E01000042,Sikh,10
E09000002,Barking and Dagenham,E01000042,Other religion,10
E09000002,Barking and Dagenham,E01000042,Not answered,106
E09000002,Barking and Dagenham,E01000043,No religion,249
E09000002,Barking and Dagenham,E01000043,Christian,557
E09000002,Barking and Dagenham,E01000043,Buddhist,11
E09000002,Barking and Dagenham,E01000043,Hindu,25
E09000002,Barking and Dagenham,E01000043,Jewish,0
E09000002,Barking and Dagenham,E01000043,Muslim,570
E09000002,Barking and Dagenham,E01000043,Sikh,44
E09000002,Barking and Dagenham,E01000043,Other religion,3
E09000002,Barking and Dagenham,E01000043,Not answered,79
E09000002,Barking and Dagenham,E01000044,No religion,196
E09000002,Barking and Dagenham,E01000044,Christian,880
E09000002,Barking and Dagenham,E01000044,Buddhist,8
E09000002,Barking and Dagenham,E01000044,Hindu,70
E09000002,Barking and Dagenham,E01000044,Jewish,1
E09000002,Barking and Dagenham,E01000044,Muslim,638
E09000002,Barking and Dagenham,E01000044,Sikh,69
E09000002,Barking and Dagenham,E01000044,Other religion,3
E09000002,Barking and Dagenham,E01000044,Not answered,118
E09000002,Barking and Dagenham,E01000045,No religion,329
E09000002,Barking and Dagenham,E01000045,Christian,860
E09000002,Barking and Dagenham,E01000045,Buddhist,9
E09000002,Barking and Dagenham,E01000045,Hindu,17
E09000002,Barking and Dagenham,E01000045,Jewish,0
E09000002,Barking and Dagenham,E01000045,Muslim,395
E09000002,Barking and Dagenham,E01000045,Sikh,8
E09000002,Barking and Dagenham,E01000045,Other religion,12
E09000002,Barking and Dagenham,E01000045,Not answered,95
E09000002,Barking and Dagenham,E01000046,No religion,464
E09000002,Barking and Dagenham,E01000046,Christian,1044
E09000002,Barking and Dagenham,E01000046,Buddhist,5
E09000002,Barking and Dagenham,E01000046,Hindu,15
E09000002,Barking and Dagenham,E01000046,Jewish,12
E09000002,Barking and Dagenham,E01000046,Muslim,296
E09000002,Barking and Dagenham,E01000046,Sikh,16
E09000002,Barking and Dagenham,E01000046,Other religion,3
E09000002,Barking and Dagenham,E01000046,Not answered,101
E09000002,Barking and Dagenham,E01000049,No religion,258
E09000002,Barking and Dagenham,E01000049,Christian,724
E09000002,Barking and Dagenham,E01000049,Buddhist,3
E09000002,Barking and Dagenham,E01000049,Hindu,49
E09000002,Barking and Dagenham,E01000049,Jewish,0
E09000002,Barking and Dagenham,E01000049,Muslim,798
E09000002,Barking and Dagenham,E01000049,Sikh,32
E09000002,Barking and Dagenham,E01000049,Other religion,2
E09000002,Barking and Dagenham,E01000049,Not answered,104
E09000002,Barking and Dagenham,E01000050,No religion,213
E09000002,Barking and Dagenham,E01000050,Christian,720
E09000002,Barking and Dagenham,E01000050,Buddhist,16
E09000002,Barking and Dagenham,E01000050,Hindu,115
E09000002,Barking and Dagenham,E01000050,Jewish,0
E09000002,Barking and Dagenham,E01000050,Muslim,560
E09000002,Barking and Dagenham,E01000050,Sikh,113
E09000002,Barking and Dagenham,E01000050,Other religion,2
E09000002,Barking and Dagenham,E01000050,Not answered,100
E09000002,Barking and Dagenham,E01000051,No religion,127
E09000002,Barking and Dagenham,E01000051,Christian,436
E09000002,Barking and Dagenham,E01000051,Buddhist,4
E09000002,Barking and Dagenham,E01000051,Hindu,28
E09000002,Barking and Dagenham,E01000051,Jewish,5
E09000002,Barking and Dagenham,E01000051,Muslim,445
E09000002,Barking and Dagenham,E01000051,Sikh,6
E09000002,Barking and Dagenham,E01000051,Other religion,5
E09000002,Barking and Dagenham,E01000051,Not answered,51
E09000002,Barking and Dagenham,E01000052,No religion,354
E09000002,Barking and Dagenham,E01000052,Christian,951
E09000002,Barking and Dagenham,E01000052,Buddhist,27
E09000002,Barking and Dagenham,E01000052,Hindu,87
E09000002,Barking and Dagenham,E01000052,Jewish,3
E09000002,Barking and Dagenham,E01000052,Muslim,757
E09000002,Barking and Dagenham,E01000052,Sikh,95
