lsoa21cd,category,count_21,count_11,change
E01000008,9. Elementary occupations,138,138,0
E01000009,"1. Managers, directors and senior officials",58,62,-4
E01000009,2. Professional occupations,123,133,-10
E01000009,3. Associate professional and technical occupations,62,47,15
E01000009,4. Administrative and secretarial occupations,70,79,-9
E01000009,5. Skilled trades occupations,109,63,46
E01000009,"6. Caring, leisure and other service occupations",62,54,8
E01000009,7. Sales and customer service occupations,70,90,-20
E01000009,"8. Process, plant and machine operatives",70,60,10
E01000009,9. Elementary occupations,159,124,35
E01000011,"1. Managers, directors and senior officials",34,55,-21
E01000011,2. Professional occupations,109,106,3
E01000011,3. Associate professional and technical occupations,68,30,38
E01000011,4. Administrative and secretarial occupations,56,60,-4
E01000011,5. Skilled trades occupations,116,58,58
E01000011,"6. Caring, leisure and other service occupations",52,48,4
E01000011,7. Sales and customer service occupations,62,88,-26
E01000011,"8. Process, plant and machine operatives",88,59,29
E01000011,9. Elementary occupations,151,136,15
E01000012,"1. Managers, directors and senior officials",62,59,3
E01000012,2. Professional occupations,129,105,24
E01000012,3. Associate professional and technical occupations,93,34,59
E01000012,4. Administrative and secretarial occupations,59,72,-13
E01000012,5. Skilled trades occupations,92,77,15
E01000012,"6. Caring, leisure and other service occupations",104,87,17
E01000012,7. Sales and customer service occupations,75,75,0
E01000012,"8. Process, plant and machine operatives",97,69,28
E01000012,9. Elementary occupations,189,142,47
E01000013,"1. Managers, directors and senior officials",66,46,20
E01000013,2. Professional occupations,104,91,13
E01000013,3. Associate professional and technical occupations,67,32,35
E01000013,4. Administrative and secretarial occupations,67,96,-29
E01000013,5. Skilled trades occupations,121,82,39
E01000013,"6. Caring, leisure and other service occupations",106,98,8
E01000013,7. Sales and customer service occupations,70,88,-18
E01000013,"8. Process, plant and machine operatives",74,85,-11
E01000013,9. Elementary occupations,127,124,3
E01000014,"1. Managers, directors and senior officials",67,36,31
E01000014,2. Professional occupations,90,55,35
E01000014,3. Associate professional and technical occupations,84,36,48
E01000014,4. Administrative and secretarial occupations,84,77,7
E01000014,5. Skilled trades occupations,99,69,30
E01000014,"6. Caring, leisure and other service occupations",88,89,-1
E01000014,7. Sales and customer service occupations,57,53,4
E01000014,"8. Process, plant and machine operatives",84,40,44
E01000014,9. Elementary occupations,144,80,64
E01000015,"1. Managers, directors and senior officials",65,45,20
E01000015,2. Professional occupations,157,96,61
E01000015,3. Associate professional and technical occupations,93,39,54
E01000015,4. Administrative and secretarial occupations,90,97,-7
E01000015,5. Skilled trades occupations,155,120,35
E01000015,"6. Caring, leisure and other service occupations",141,119,22
E01000015,7. Sales and customer service occupations,82,89,-7
E01000015,"8. Process, plant and machine operatives",99,80,19
E01000015,9. Elementary occupations,186,153,33
E01000016,"1. Managers, directors and senior officials",69,39,30
E01000016,2. Professional occupations,128,66,62
E01000016,3. Associate professional and technical occupations,71,35,36
E01000016,4. Administrative and secretarial occupations,83,91,-8
E01000016,5. Skilled trades occupations,118,82,36
E01000016,"6. Caring, leisure and other service occupations",107,84,23
E01000016,7. Sales and customer service occupations,64,52,12
E01000016,"8. Process, plant and machine operatives",77,67,10
E01000016,9. Elementary occupations,145,121,24
E01000017,"1. Managers, directors and senior officials",47,40,7
E01000017,2. Professional occupations,131,88,43
E01000017,3. Associate professional and technical occupations,69,28,41
E01000017,4. Administrative and secretarial occupations,75,77,-2
E01000017,5. Skilled trades occupations,91,69,22
E01000017,"6. Caring, leisure and other service occupations",97,75,22
E01000017,7. Sales and customer service occupations,51,60,-9
E01000017,"8. Process, plant and machine operatives",65,78,-13
E01000017,9. Elementary occupations,121,93,28
E01000018,"1. Managers, directors and senior officials",72,32,40
E01000018,2. Professional occupations,118,81,37
E01000018,3. Associate professional and technical occupations,65,23,42
E01000018,4. Administrative and secretarial occupations,87,83,4
