lsoa21cd,category,count_21,count_11,change
E01000022,60km and over,6,7,-1
E01000022,Less than 2km,52,53,-1
E01000022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",148,84,64
E01000022,Works mainly from home,137,26,111
E01000024,10km to less than 20km,109,140,-31
E01000024,20km to less than 30km,22,26,-4
E01000024,2km to less than 5km,118,111,7
E01000024,30km to less than 40km,6,7,-1
E01000024,40km to less than 60km,4,8,-4
E01000024,5km to less than 10km,83,90,-7
E01000024,60km and over,5,10,-5
E01000024,Less than 2km,31,42,-11
E01000024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",145,69,76
E01000024,Works mainly from home,106,31,75
E01000025,10km to less than 20km,156,171,-15
E01000025,20km to less than 30km,42,27,15
E01000025,2km to less than 5km,125,140,-15
E01000025,30km to less than 40km,5,8,-3
E01000025,40km to less than 60km,3,11,-8
E01000025,5km to less than 10km,105,118,-13
E01000025,60km and over,9,31,-22
E01000025,Less than 2km,42,50,-8
E01000025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",175,77,98
E01000025,Works mainly from home,176,45,131
E01000027,10km to less than 20km,126,125,1
E01000027,20km to less than 30km,49,43,6
E01000027,2km to less than 5km,120,134,-14
E01000027,30km to less than 40km,9,8,1
E01000027,40km to less than 60km,6,8,-2
E01000027,5km to less than 10km,95,127,-32
E01000027,60km and over,3,9,-6
E01000027,Less than 2km,42,49,-7
E01000027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",212,92,120
E01000027,Works mainly from home,142,39,103
E01000028,10km to less than 20km,94,124,-30
E01000028,20km to less than 30km,37,35,2
E01000028,2km to less than 5km,110,107,3
E01000028,30km to less than 40km,21,8,13
E01000028,40km to less than 60km,3,3,0
E01000028,5km to less than 10km,80,100,-20
E01000028,60km and over,8,11,-3
E01000028,Less than 2km,39,42,-3
E01000028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",166,70,96
E01000028,Works mainly from home,126,35,91
E01000029,10km to less than 20km,110,174,-64
E01000029,20km to less than 30km,43,60,-17
E01000029,2km to less than 5km,104,104,0
E01000029,30km to less than 40km,10,9,1
E01000029,40km to less than 60km,8,4,4
E01000029,5km to less than 10km,92,96,-4
E01000029,60km and over,6,14,-8
E01000029,Less than 2km,44,52,-8
E01000029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",166,86,80
E01000029,Works mainly from home,188,37,151
E01000030,10km to less than 20km,141,143,-2
E01000030,20km to less than 30km,65,45,20
E01000030,2km to less than 5km,141,115,26
E01000030,30km to less than 40km,26,10,16
E01000030,40km to less than 60km,5,5,0
E01000030,5km to less than 10km,125,134,-9
E01000030,60km and over,10,16,-6
E01000030,Less than 2km,38,47,-9
E01000030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",208,104,104
E01000030,Works mainly from home,221,46,175
E01000031,10km to less than 20km,130,212,-82
E01000031,20km to less than 30km,60,73,-13
E01000031,2km to less than 5km,96,126,-30
E01000031,30km to less than 40km,6,9,-3
E01000031,40km to less than 60km,4,5,-1
E01000031,5km to less than 10km,66,100,-34
E01000031,60km and over,5,9,-4
E01000031,Less than 2km,35,53,-18
E01000031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",144,92,52
E01000031,Works mainly from home,244,49,195
E01000032,10km to less than 20km,141,191,-50
E01000032,20km to less than 30km,32,44,-12
E01000032,2km to less than 5km,94,132,-38
E01000032,30km to less than 40km,11,14,-3
E01000032,40km to less than 60km,4,8,-4
E01000032,5km to less than 10km,114,92,22
E01000032,60km and over,15,16,-1
E01000032,Less than 2km,62,67,-5
E01000032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",207,87,120
E01000032,Works mainly from home,198,67,131
E01000033,10km to less than 20km,106,115,-9
E01000033,20km to less than 30km,31,54,-23
E01000033,2km to less than 5km,100,106,-6
E01000033,30km to less than 40km,8,7,1
E01000033,40km to less than 60km,6,6,0
E01000033,5km to less than 10km,74,70,4
E01000033,60km and over,4,11,-7
E01000033,Less than 2km,48,54,-6
E01000033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",125,67,58
E01000033,Works mainly from home,86,22,64
E01000034,10km to less than 20km,87,141,-54
E01000034,20km to less than 30km,39,51,-12
E01000034,2km to less than 5km,91,105,-14
E01000034,30km to less than 40km,11,7,4
E01000034,40km to less than 60km,4,3,1
E01000034,5km to less than 10km,57,60,-3
E01000034,60km and over,10,9,1
E01000034,Less than 2km,61,82,-21
E01000034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",154,69,85
E01000034,Works mainly from home,140,32,108
E01000035,10km to less than 20km,148,163,-15
E01000035,20km to less than 30km,46,58,-12
E01000035,2km to less than 5km,105,103,2
E01000035,30km to less than 40km,8,16,-8
E01000035,40km to less than 60km,2,3,-1
E01000035,5km to less than 10km,86,94,-8
E01000035,60km and over,9,17,-8
E01000035,Less than 2km,50,58,-8
E01000035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",207,100,107
E01000035,Works mainly from home,154,72,82
E01000036,10km to less than 20km,135,163,-28
E01000036,20km to less than 30km,62,68,-6
E01000036,2km to less than 5km,63,109,-46
E01000036,30km to less than 40km,11,7,4
E01000036,40km to less than 60km,5,7,-2
E01000036,5km to less than 10km,61,70,-9
E01000036,60km and over,6,13,-7
E01000036,Less than 2km,30,67,-37
E01000036,"Works mainly at an offshore installation, in no fixed place, or outside the UK",170,102,68
E01000036,Works mainly from home,145,37,108
E01000037,10km to less than 20km,115,229,-114
E01000037,20km to less than 30km,62,99,-37
E01000037,2km to less than 5km,99,118,-19
E01000037,30km to less than 40km,8,15,-7
E01000037,40km to less than 60km,3,3,0
E01000037,5km to less than 10km,76,100,-24
E01000037,60km and over,7,10,-3
E01000037,Less than 2km,95,156,-61
E01000037,"Works mainly at an offshore installation, in no fixed place, or outside the UK",164,98,66
E01000037,Works mainly from home,226,62,164
E01000038,10km to less than 20km,122,142,-20
E01000038,20km to less than 30km,44,51,-7
E01000038,2km to less than 5km,84,105,-21
E01000038,30km to less than 40km,9,10,-1
E01000038,40km to less than 60km,2,5,-3
E01000038,5km to less than 10km,68,90,-22
E01000038,60km and over,10,6,4
E01000038,Less than 2km,88,130,-42
E01000038,"Works mainly at an offshore installation, in no fixed place, or outside the UK",154,65,89
E01000038,Works mainly from home,198,46,152
E01000039,10km to less than 20km,114,190,-76
E01000039,20km to less than 30km,54,81,-27
E01000039,2km to less than 5km,80,141,-61
E01000039,30km to less than 40km,10,4,6
E01000039,40km to less than 60km,2,7,-5
E01000039,5km to less than 10km,70,72,-2
E01000039,60km and over,7,10,-3
E01000039,Less than 2km,74,114,-40
E01000039,"Works mainly at an offshore installation, in no fixed place, or outside the UK",192,88,104
E01000039,Works mainly from home,216,41,175
E01000040,10km to less than 20km,143,155,-12
E01000040,20km to less than 30km,37,23,14
E01000040,2km to less than 5km,93,108,-15
E01000040,30km to less than 40km,4,7,-3
E01000040,40km to less than 60km,4,6,-2
E01000040,5km to less than 10km,77,120,-43
E01000040,60km and over,1,12,-11
E01000040,Less than 2km,64,91,-27
E01000040,"Works mainly at an offshore installation, in no fixed place, or outside the UK",168,74,94
E01000040,Works mainly from home,151,41,110
E01000041,10km to less than 20km,147,166,-19
E01000041,20km to less than 30km,30,32,-2
E01000041,2km to less than 5km,117,150,-33
E01000041,30km to less than 40km,11,9,2
E01000041,40km to less than 60km,8,6,2
E01000041,5km to less than 10km,114,100,14
E01000041,60km and over,10,16,-6
E01000041,Less than 2km,50,63,-13
E01000041,"Works mainly at an offshore installation, in no fixed place, or outside the UK",206,107,99
E01000041,Works mainly from home,128,34,94
E01000042,10km to less than 20km,146,187,-41
E01000042,20km to less than 30km,12,30,-18
E01000042,2km to less than 5km,89,77,12
E01000042,30km to less than 40km,9,9,0
E01000042,40km to less than 60km,4,9,-5
E01000042,5km to less than 10km,110,87,23
E01000042,60km and over,7,14,-7
E01000042,Less than 2km,40,74,-34
E01000042,"Works mainly at an offshore installation, in no fixed place, or outside the UK",161,94,67
E01000042,Works mainly from home,128,29,99
E01000043,10km to less than 20km,136,143,-7
E01000043,20km to less than 30km,16,22,-6
E01000043,2km to less than 5km,85,76,9
E01000043,30km to less than 40km,11,10,1
E01000043,40km to less than 60km,2,3,-1
E01000043,5km to less than 10km,72,93,-21
E01000043,60km and over,7,7,0
E01000043,Less than 2km,62,61,1
E01000043,"Works mainly at an offshore installation, in no fixed place, or outside the UK",171,75,96
E01000043,Works mainly from home,140,29,111
E01000044,10km to less than 20km,171,202,-31
E01000044,20km to less than 30km,22,36,-14
E01000044,2km to less than 5km,102,103,-1
E01000044,30km to less than 40km,6,6,0
E01000044,40km to less than 60km,11,13,-2
E01000044,5km to less than 10km,105,126,-21
E01000044,60km and over,11,10,1
E01000044,Less than 2km,66,86,-20
E01000044,"Works mainly at an offshore installation, in no fixed place, or outside the UK",259,130,129
E01000044,Works mainly from home,146,57,89
E01000045,10km to less than 20km,121,174,-53
E01000045,20km to less than 30km,30,23,7
E01000045,2km to less than 5km,88,144,-56
E01000045,30km to less than 40km,8,15,-7
E01000045,40km to less than 60km,2,3,-1
E01000045,5km to less than 10km,104,107,-3
E01000045,60km and over,9,10,-1
E01000045,Less than 2km,32,52,-20
E01000045,"Works mainly at an offshore installation, in no fixed place, or outside the UK",195,92,103
E01000045,Works mainly from home,136,44,92
E01000046,10km to less than 20km,166,183,-17
E01000046,20km to less than 30km,47,27,20
E01000046,2km to less than 5km,119,161,-42
E01000046,30km to less than 40km,5,11,-6
E01000046,40km to less than 60km,5,6,-1
E01000046,5km to less than 10km,118,124,-6
E01000046,60km and over,18,10,8
E01000046,Less than 2km,51,55,-4
E01000046,"Works mainly at an offshore installation, in no fixed place, or outside the UK",195,109,86
E01000046,Works mainly from home,133,52,81
E01000049,10km to less than 20km,147,163,-16
E01000049,20km to less than 30km,23,26,-3
E01000049,2km to less than 5km,97,43,54
E01000049,30km to less than 40km,4,5,-1
E01000049,40km to less than 60km,6,6,0
E01000049,5km to less than 10km,106,109,-3
E01000049,60km and over,6,13,-7
E01000049,Less than 2km,73,74,-1
E01000049,"Works mainly at an offshore installation, in no fixed place, or outside the UK",147,78,69
E01000049,Works mainly from home,72,55,17
E01000050,10km to less than 20km,159,159,0
E01000050,20km to less than 30km,25,22,3
E01000050,2km to less than 5km,71,59,12
E01000050,30km to less than 40km,13,6,7
E01000050,40km to less than 60km,8,6,2
E01000050,5km to less than 10km,115,93,22
E01000050,60km and over,11,9,2
E01000050,Less than 2km,63,74,-11
E01000050,"Works mainly at an offshore installation, in no fixed place, or outside the UK",159,105,54
E01000050,Works mainly from home,188,37,151
E01000051,10km to less than 20km,132,157,-25
E01000051,20km to less than 30km,24,29,-5
E01000051,2km to less than 5km,41,65,-24
E01000051,30km to less than 40km,6,7,-1
E01000051,40km to less than 60km,3,5,-2
E01000051,5km to less than 10km,64,106,-42
E01000051,60km and over,3,11,-8
E01000051,Less than 2km,42,78,-36
E01000051,"Works mainly at an offshore installation, in no fixed place, or outside the UK",98,93,5
E01000051,Works mainly from home,164,30,134
E01000052,10km to less than 20km,204,255,-51
E01000052,20km to less than 30km,28,36,-8
E01000052,2km to less than 5km,93,117,-24
E01000052,30km to less than 40km,7,11,-4
E01000052,40km to less than 60km,9,7,2
E01000052,5km to less than 10km,113,124,-11
E01000052,60km and over,14,22,-8
E01000052,Less than 2km,81,111,-30
E01000052,"Works mainly at an offshore installation, in no fixed place, or outside the UK",227,120,107
E01000052,Works mainly from home,195,55,140
E01000053,10km to less than 20km,125,149,-24
E01000053,20km to less than 30km,38,55,-17
E01000053,2km to less than 5km,67,106,-39
E01000053,30km to less than 40km,9,11,-2
E01000053,40km to less than 60km,4,1,3
E01000053,5km to less than 10km,95,83,12
E01000053,60km and over,11,12,-1
E01000053,Less than 2km,48,66,-18
E01000053,"Works mainly at an offshore installation, in no fixed place, or outside the UK",186,90,96
