category,lad22cd,lad22nm,ward22cd,ward22nm,count_21,count_11,change
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009375,Haggerston,1606,1233,373
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009376,Homerton,1168,1045,123
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009377,Hoxton East & Shoreditch,1478,1259,219
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009378,Hoxton West,1594,1295,299
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009379,King's Park,1194,1140,54
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009380,Lea Bridge,1275,1184,91
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009381,London Fields,1420,1155,265
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009382,Shacklewell,956,842,114
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009383,Springfield,967,1049,-82
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009384,Stamford Hill West,636,689,-53
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009385,Stoke Newington,1440,1441,-1
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009386,Victoria,1425,1340,85
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009387,Woodberry Down,1202,865,337
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009388,Abingdon,1275,1439,-164
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,1337,1840,-503
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009390,Campden,1232,1390,-158
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,1025,1120,-95
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009392,Colville,1120,1284,-164
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009393,Courtfield,1364,1667,-303
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009394,Dalgarno,629,686,-57
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009395,Earl's Court,1282,1419,-137
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009396,Golborne,779,722,57
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009397,Holland,1235,1281,-46
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009398,Norland,706,715,-9
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009399,Notting Dale,789,870,-81
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009400,Pembridge,778,935,-157
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009401,Queen's Gate,1226,1633,-407
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009402,Redcliffe,1446,1693,-247
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009403,Royal Hospital,1179,1526,-347
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009404,St Helen's,730,814,-84
Occupancy rating of bedrooms: +1,E09000020,Kensington and Chelsea,E05009405,Stanley,1163,1520,-357
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011095,Borough & Bankside,1237,1096,141
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011096,Camberwell Green,1570,1255,315
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011097,Champion Hill,1127,1099,28
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011098,Chaucer,1650,1621,29
