category,lad22cd,lad22nm,ward22cd,ward22nm,count_21,count_11,change
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013565,Charville,926,865,61
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013566,Colham & Cowley,1313,1241,72
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013567,Eastcote,2430,2161,269
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013568,Harefield Village,692,638,54
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013569,Hayes Town,680,603,77
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013570,Heathrow Villages,771,734,37
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013571,Hillingdon East,1644,1538,106
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013572,Hillingdon West,1037,810,227
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013573,Ickenham & South Harefield,2518,2289,229
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013574,Northwood,1703,1644,59
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013575,Northwood Hills,1438,1297,141
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013576,Pinkwell,981,951,30
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013577,Ruislip,2367,2173,194
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013578,Ruislip Manor,1238,1076,162
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013579,South Ruislip,1624,1506,118
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013580,Uxbridge,1492,1395,97
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013581,West Drayton,1239,1181,58
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013582,Wood End,984,943,41
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013583,Yeading,592,545,47
Occupancy rating of bedrooms: +2 or more,E09000017,Hillingdon,E05013584,Yiewsley,605,511,94
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013585,Alexandra Park,1447,1354,93
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013586,Bounds Green,696,583,113
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013587,Bruce Castle,617,588,29
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013588,Crouch End,1292,1178,114
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013589,Fortis Green,1750,1663,87
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013590,Harringay,1172,942,230
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013591,Hermitage & Gardens,565,506,59
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013592,Highgate,1541,1570,-29
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013593,Hornsey,1250,1139,111
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013594,Muswell Hill,1252,1164,88
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013595,Noel Park,724,666,58
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013596,Northumberland Park,608,484,124
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013597,St Ann's,665,498,167
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013598,Seven Sisters,423,341,82
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013599,South Tottenham,816,746,70
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013600,Stroud Green,904,819,85
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013601,Tottenham Central,846,700,146
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013602,Tottenham Hale,474,407,67
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013603,West Green,1041,904,137
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013604,White Hart Lane,776,718,58
Occupancy rating of bedrooms: +2 or more,E09000014,Haringey,E05013605,Woodside,868,747,121
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013606,Bedfont,874,929,-55
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013607,Brentford East,246,255,-9
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013608,Brentford West,777,627,150
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013609,Chiswick Gunnersbury,1475,1357,118
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013610,Chiswick Homefields,2085,2039,46
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013611,Chiswick Riverside,1255,1172,83
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013612,Cranford,905,755,150
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013613,Feltham North,796,863,-67
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013614,Feltham West,793,753,40
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013615,Hanworth Park,783,773,10
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013616,Hanworth Village,994,1050,-56
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013617,Heston Central,947,766,181
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013618,Heston East,861,755,106
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013619,Heston West,869,750,119
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013620,Hounslow Central,430,317,113
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013621,Hounslow East,420,374,46
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013622,Hounslow Heath,736,629,107
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013623,Hounslow South,1551,1356,195
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013624,Hounslow West,841,644,197
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013625,Isleworth,1059,921,138
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013626,Osterley & Spring Grove,1618,1476,142
Occupancy rating of bedrooms: +2 or more,E09000018,Hounslow,E05013627,Syon & Brentford Lock,690,676,14
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013628,Barnet Vale,2438,2153,285
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013629,Brunswick Park,2220,1960,260
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013630,Burnt Oak,1011,980,31
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013631,Childs Hill,2269,2135,134
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013632,Colindale North,393,299,94
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013633,Colindale South,850,542,308
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013634,Cricklewood,730,695,35
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013635,East Barnet,2164,2017,147
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013636,East Finchley,1679,1483,196
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013637,Edgware,2544,2157,387
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013638,Edgwarebury,1451,1341,110
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013639,Finchley Church End,2570,2364,206
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013640,Friern Barnet,1641,1470,171
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013641,Garden Suburb,2489,2437,52
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013642,Golders Green,1726,1480,246
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013643,Hendon,2118,1919,199
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013644,High Barnet,1839,1619,220
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013645,Mill Hill,2493,2138,355
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013646,Totteridge & Woodside,2428,1992,436
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013647,Underhill,1367,1242,125
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013648,West Finchley,2162,1875,287
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013649,West Hendon,1214,1040,174
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013650,Whetstone,1562,1312,250
Occupancy rating of bedrooms: +2 or more,E09000003,Barnet,E05013651,Woodhouse,1345,1175,170
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013652,Belsize,947,982,-35
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013653,Bloomsbury,376,317,59
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013654,Camden Square,340,345,-5
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013655,Camden Town,347,313,34
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013656,Fortune Green,1038,1050,-12
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013657,Frognal,961,989,-28
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013658,Gospel Oak,825,760,65
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013659,Hampstead Town,1106,1091,15
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013660,Haverstock,512,505,7
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013661,Highgate,1228,1203,25
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013662,Holborn & Covent Garden,386,328,58
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013663,Kentish Town North,490,435,55
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013664,Kentish Town South,590,539,51
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013665,Kilburn,445,464,-19
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013666,King's Cross,329,232,97
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013667,Primrose Hill,1115,1157,-42
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013668,Regent's Park,552,557,-5
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013669,St Pancras & Somers Town,396,401,-5
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013670,South Hampstead,684,665,19
Occupancy rating of bedrooms: +2 or more,E09000007,Camden,E05013671,West Hampstead,655,633,22
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013672,Arnos Grove,1391,1223,168
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013673,Bowes,907,836,71
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013674,Brimsdown,1130,1224,-94
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013675,Bullsmoor,855,974,-119
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013676,Bush Hill Park,2002,1828,174
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013677,Carterhatch,646,663,-17
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013678,Cockfosters,1580,1449,131
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013679,Edmonton Green,712,661,51
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013680,Enfield Lock,1046,1112,-66
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013681,Grange Park,1528,1446,82
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013682,Haselbury,1169,1081,88
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013683,Highfield,1159,1140,19
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013684,Jubilee,1143,1165,-22
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013685,Lower Edmonton,889,890,-1
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013686,New Southgate,1003,833,170
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013687,Oakwood,1209,1127,82
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013688,Palmers Green,1141,1014,127
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013689,Ponders End,653,626,27
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013690,Ridgeway,1695,1578,117
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013691,Southbury,1330,1307,23
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013692,Southgate,1765,1623,142
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013693,Town,1789,1643,146
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013694,Upper Edmonton,785,690,95
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013695,Whitewebbs,1482,1381,101
Occupancy rating of bedrooms: +2 or more,E09000010,Enfield,E05013696,Winchmore Hill,1641,1479,162
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013697,Arsenal,646,609,37
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013698,Barnsbury,814,820,-6
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013699,Bunhill,298,285,13
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013700,Caledonian,400,383,17
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013701,Canonbury,693,661,32
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013702,Clerkenwell,493,509,-16
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013703,Finsbury Park,595,552,43
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013704,Highbury,1210,1073,137
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013705,Hillrise,1041,1048,-7
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013706,Holloway,474,470,4
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013707,Junction,702,735,-33
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013708,Laycock,644,621,23
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013709,Mildmay,569,584,-15
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013710,St Mary's & St James',674,645,29
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013711,St Peter's & Canalside,575,531,44
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013712,Tollington,784,734,50
Occupancy rating of bedrooms: +2 or more,E09000019,Islington,E05013713,Tufnell Park,764,740,24
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013714,Bellingham,635,566,69
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013715,Blackheath,1448,1411,37
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013716,Brockley,1030,951,79
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013717,Catford South,1913,1889,24
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013718,Crofton Park,1787,1536,251
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013719,Deptford,589,538,51
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013720,Downham,1125,1158,-33
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013721,Evelyn,469,373,96
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013722,Forest Hill,1426,1388,38
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013723,Grove Park,1518,1431,87
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013724,Hither Green,1682,1489,193
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013725,Ladywell,1386,1215,171
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013726,Lee Green,1689,1553,136
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013727,Lewisham Central,243,207,36
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013728,New Cross Gate,338,265,73
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013729,Perry Vale,1810,1583,227
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013730,Rushey Green,1170,1018,152
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013731,Sydenham,1511,1337,174
Occupancy rating of bedrooms: +2 or more,E09000023,Lewisham,E05013732,Telegraph Hill,1090,1073,17
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013733,Addison,437,402,35
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013734,Avonmore,403,413,-10
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013735,Brook Green,661,633,28
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013736,College Park & Old Oak,432,347,85
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013737,Coningham,636,531,105
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013738,Fulham Reach,1030,941,89
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013739,Fulham Town,797,743,54
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013740,Grove,670,536,134
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013741,Hammersmith Broadway,469,332,137
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013742,Lillie,329,291,38
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013743,Munster,1338,1166,172
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013744,Palace & Hurlingham,1652,1542,110
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013745,Parsons Green & Sandford,1246,1196,50
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013746,Ravenscourt,554,573,-19
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013747,Sands End,596,446,150
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013748,Shepherd's Bush Green,225,185,40
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013749,Walham Green,547,504,43
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013750,Wendell Park,731,668,63
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013751,West Kensington,418,411,7
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013752,White City,503,487,16
Occupancy rating of bedrooms: +2 or more,E09000013,Hammersmith and Fulham,E05013753,Wormholt,629,544,85
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013754,Beddington,1376,1283,93
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013755,Belmont,1525,1513,12
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013756,Carshalton Central,1663,1492,171
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013757,Carshalton South & Clockhouse,1763,1621,142
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013758,Cheam,1988,1918,70
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013759,Hackbridge,421,283,138
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013760,North Cheam,1543,1440,103
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013761,St Helier East,460,459,1
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013762,St Helier West,659,634,25
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013763,South Beddington & Roundshaw,1298,1245,53
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013764,Stonecot,1032,960,72
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013765,Sutton Central,587,550,37
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013766,Sutton North,1197,1161,36
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013767,Sutton South,784,801,-17
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013768,Sutton West & East Cheam,1125,1062,63
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013769,The Wrythe,1084,1044,40
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013770,Wallington North,1197,1118,79
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013771,Wallington South,1269,1198,71
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013772,Worcester Park North,941,871,70
Occupancy rating of bedrooms: +2 or more,E09000029,Sutton,E05013773,Worcester Park South,1330,1145,185
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013774,Barnes,1899,1796,103
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013775,East Sheen,2065,1926,139
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013776,Fulwell & Hampton Hill,1557,1432,125
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013777,"Ham, Petersham & Richmond Riverside",1397,1380,17
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013778,Hampton,1649,1495,154
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013779,Hampton North,1332,1238,94
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013780,Hampton Wick & South Teddington,1491,1423,68
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013781,Heathfield,1251,1121,130
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013782,Kew,1790,1727,63
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013783,Mortlake & Barnes Common,1525,1381,144
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013784,North Richmond,1497,1462,35
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013785,St Margarets & North Twickenham,1803,1643,160
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013786,South Richmond,1458,1470,-12
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013787,South Twickenham,1572,1454,118
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013788,Teddington,1737,1485,252
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013789,Twickenham Riverside,1393,1308,85
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013790,West Twickenham,1432,1347,85
Occupancy rating of bedrooms: +2 or more,E09000027,Richmond upon Thames,E05013791,Whitton,1651,1480,171
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013792,Abbey Road,1214,1158,56
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013793,Bayswater,699,669,30
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013794,Church Street,335,311,24
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013795,Harrow Road,333,318,15
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013796,Hyde Park,688,705,-17
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013797,Knightsbridge & Belgravia,1176,1539,-363
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013798,Lancaster Gate,574,543,31
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013799,Little Venice,638,702,-64
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013800,Maida Vale,534,509,25
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013801,Marylebone,945,1050,-105
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013802,Pimlico North,521,563,-42
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013803,Pimlico South,476,526,-50
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013804,Queen's Park,385,342,43
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013805,Regent's Park,951,1120,-169
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013806,St James's,552,478,74
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013807,Vincent Square,482,506,-24
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013808,West End,681,690,-9
Occupancy rating of bedrooms: +2 or more,E09000033,Westminster,E05013809,Westbourne,319,321,-2
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013810,Abbey,924,760,164
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013811,Cannon Hill,1623,1574,49
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013812,Colliers Wood,816,668,148
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013813,Cricket Green,736,664,72
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013814,Figge's Marsh,679,649,30
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013815,Graveney,1202,1024,178
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013816,Hillside,1036,981,55
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013817,Lavender Fields,714,587,127
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013818,Longthornton,1140,1017,123
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013819,Lower Morden,1550,1507,43
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013820,Merton Park,1379,1304,75
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013821,Pollards Hill,1002,1027,-25
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013822,Ravensbury,737,717,20
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013823,Raynes Park,1452,1277,175
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013824,St Helier,631,573,58
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013825,Village,2363,2294,69
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013826,Wandle,486,358,128
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013827,West Barnes,1648,1409,239
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013828,Wimbledon Park,1737,1579,158
Occupancy rating of bedrooms: +2 or more,E09000024,Merton,E05013829,Wimbledon Town & Dundonald,1694,1562,132
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013882,Cann Hall,887,752,135
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013883,Cathall,633,480,153
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013884,Chapel End,1134,896,238
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013885,Chingford Green,1668,1628,40
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013886,Endlebury,1216,1143,73
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013887,Forest,1176,1041,135
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013888,Grove Green,991,794,197
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013889,Hale End & Highams Park South,1035,950,85
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013890,Hatch Lane & Highams Park North,1598,1456,142
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013891,High Street,518,380,138
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013892,Higham Hill,788,642,146
Occupancy rating of bedrooms: +2 or more,E09000031,Waltham Forest,E05013893,Hoe Street,931,740,191
