lad22cd,lad22nm,category,count_21
E09000027,Richmond upon Thames,West or Central Asian language: Pashto,171
E09000027,Richmond upon Thames,West or Central Asian language: Any other West or Central Asian language,105
E09000027,Richmond upon Thames,South Asian language: Urdu,243
E09000027,Richmond upon Thames,South Asian language: Hindi,222
E09000027,Richmond upon Thames,South Asian language: Panjabi,657
E09000027,Richmond upon Thames,South Asian language: Pakistani Pahari (with Mirpuri and Potwari),1
E09000027,Richmond upon Thames,South Asian language: Bengali (with Sylheti and Chatgaya),240
E09000027,Richmond upon Thames,South Asian language: Gujarati,335
E09000027,Richmond upon Thames,South Asian language: Marathi,70
E09000027,Richmond upon Thames,South Asian language: Telugu,53
E09000027,Richmond upon Thames,South Asian language: Tamil,144
E09000027,Richmond upon Thames,South Asian language: Malayalam,53
E09000027,Richmond upon Thames,South Asian language: Sinhala,67
E09000027,Richmond upon Thames,South Asian language: Nepalese,70
E09000027,Richmond upon Thames,South Asian language: Any other South Asian language,67
E09000027,Richmond upon Thames,East Asian language: Mandarin Chinese,161
E09000027,Richmond upon Thames,East Asian language: Cantonese Chinese,403
E09000027,Richmond upon Thames,East Asian language: All other Chinese,514
E09000027,Richmond upon Thames,East Asian language: Japanese,350
E09000027,Richmond upon Thames,East Asian language: Korean,98
E09000027,Richmond upon Thames,East Asian language: Vietnamese,79
E09000027,Richmond upon Thames,East Asian language: Thai,128
E09000027,Richmond upon Thames,East Asian language: Malay,25
E09000027,Richmond upon Thames,East Asian language: Tagalog or Filipino,143
E09000027,Richmond upon Thames,East Asian language: Any other East Asian language,35
E09000027,Richmond upon Thames,Oceanic or Australian language,0
E09000027,Richmond upon Thames,North or South American language,0
E09000027,Richmond upon Thames,Caribbean Creole: English-based Caribbean Creole,1
E09000027,Richmond upon Thames,Caribbean Creole: Any other Caribbean Creole,1
E09000027,Richmond upon Thames,African language: Amharic,33
E09000027,Richmond upon Thames,African language: Tigrinya,29
E09000027,Richmond upon Thames,African language: Somali,49
E09000027,Richmond upon Thames,African language: Krio,1
E09000027,Richmond upon Thames,African language: Akan,17
E09000027,Richmond upon Thames,African language: Yoruba,3
E09000027,Richmond upon Thames,African language: Igbo,2
E09000027,Richmond upon Thames,African language: Swahili or Kiswahili,12
E09000027,Richmond upon Thames,African language: Luganda,3
E09000027,Richmond upon Thames,African language: Lingala,16
E09000027,Richmond upon Thames,African language: Shona,28
E09000027,Richmond upon Thames,African language: Afrikaans,68
E09000027,Richmond upon Thames,African language: Any other Nigerian language,1
E09000027,Richmond upon Thames,African language: Any other West African language,3
E09000027,Richmond upon Thames,African language: Any other African language,24
E09000027,Richmond upon Thames,Sign language: British Sign Language,49
E09000027,Richmond upon Thames,Sign language: Any other sign language,4
E09000027,Richmond upon Thames,Sign language: Any sign communication system,16
E09000027,Richmond upon Thames,Other language,20
