lad22cd,lad22nm,category,count_21
E09000031,Waltham Forest,Main language is not English (English or Welsh in Wales): Can speak English very well,22586
E09000031,Waltham Forest,Main language is not English (English or Welsh in Wales): Can speak English well,24055
E09000031,Waltham Forest,Main language is not English (English or Welsh in Wales): Cannot speak English well,11456
E09000031,Waltham Forest,Main language is not English (English or Welsh in Wales): Cannot speak English,1678
E09000032,Wandsworth,Main language is English (English or Welsh in Wales),261751
E09000032,Wandsworth,Main language is not English (English or Welsh in Wales): Can speak English very well,30641
E09000032,Wandsworth,Main language is not English (English or Welsh in Wales): Can speak English well,16100
E09000032,Wandsworth,Main language is not English (English or Welsh in Wales): Cannot speak English well,6292
E09000032,Wandsworth,Main language is not English (English or Welsh in Wales): Cannot speak English,1060
E09000033,Westminster,Main language is English (English or Welsh in Wales),146375
E09000033,Westminster,Main language is not English (English or Welsh in Wales): Can speak English very well,30418
E09000033,Westminster,Main language is not English (English or Welsh in Wales): Can speak English well,14911
E09000033,Westminster,Main language is not English (English or Welsh in Wales): Cannot speak English well,6296
E09000033,Westminster,Main language is not English (English or Welsh in Wales): Cannot speak English,988
