gss_code_ward,ward_name,category,count_21
E05014056,Beam,Driving a car or van,1265
E05014056,Beam,Passenger in a car or van,115
E05014056,Beam,Bicycle,47
E05014056,Beam,On foot,191
E05014056,Beam,Other method of travel to work,50
E05014056,Beam,Not in employment or aged 15 years and under,4800
E05014070,Village,Work mainly at or from home,1023
E05014070,Village,"Underground, metro, light rail, tram",933
E05014070,Village,Train,504
E05014070,Village,"Bus, minibus or coach",513
E05014070,Village,Taxi,31
E05014070,Village,"Motorcycle, scooter or moped",43
E05014070,Village,Driving a car or van,1838
E05014070,Village,Passenger in a car or van,147
E05014070,Village,Bicycle,63
E05014070,Village,On foot,252
E05014070,Village,Other method of travel to work,76
E05014070,Village,Not in employment or aged 15 years and under,7229
E05014055,Barking Riverside,Work mainly at or from home,1128
E05014055,Barking Riverside,"Underground, metro, light rail, tram",790
E05014055,Barking Riverside,Train,376
E05014055,Barking Riverside,"Bus, minibus or coach",469
E05014055,Barking Riverside,Taxi,22
E05014055,Barking Riverside,"Motorcycle, scooter or moped",26
E05014055,Barking Riverside,Driving a car or van,1397
E05014055,Barking Riverside,Passenger in a car or van,65
E05014055,Barking Riverside,Bicycle,58
E05014055,Barking Riverside,On foot,141
E05014055,Barking Riverside,Other method of travel to work,61
E05014055,Barking Riverside,Not in employment or aged 15 years and under,5522
E05014068,Thames View,Work mainly at or from home,466
E05014068,Thames View,"Underground, metro, light rail, tram",356
E05014068,Thames View,Train,219
E05014068,Thames View,"Bus, minibus or coach",252
E05014068,Thames View,Taxi,15
E05014068,Thames View,"Motorcycle, scooter or moped",11
E05014068,Thames View,Driving a car or van,719
E05014068,Thames View,Passenger in a car or van,61
E05014068,Thames View,Bicycle,43
E05014068,Thames View,On foot,98
E05014068,Thames View,Other method of travel to work,37
E05014068,Thames View,Not in employment or aged 15 years and under,3358
E05014071,Whalebone,Work mainly at or from home,1610
E05014071,Whalebone,"Underground, metro, light rail, tram",785
E05014071,Whalebone,Train,667
E05014071,Whalebone,"Bus, minibus or coach",665
E05014071,Whalebone,Taxi,32
E05014071,Whalebone,"Motorcycle, scooter or moped",34
E05014071,Whalebone,Driving a car or van,2115
E05014071,Whalebone,Passenger in a car or van,163
E05014071,Whalebone,Bicycle,47
E05014071,Whalebone,On foot,271
E05014071,Whalebone,Other method of travel to work,98
E05014071,Whalebone,Not in employment or aged 15 years and under,7710
E05013629,Brunswick Park,Work mainly at or from home,3209
E05013629,Brunswick Park,"Underground, metro, light rail, tram",767
E05013629,Brunswick Park,Train,129
E05013629,Brunswick Park,"Bus, minibus or coach",427
E05013629,Brunswick Park,Taxi,27
E05013629,Brunswick Park,"Motorcycle, scooter or moped",46
E05013629,Brunswick Park,Driving a car or van,2473
E05013629,Brunswick Park,Passenger in a car or van,174
E05013629,Brunswick Park,Bicycle,72
E05013629,Brunswick Park,On foot,311
E05013629,Brunswick Park,Other method of travel to work,105
E05013629,Brunswick Park,Not in employment or aged 15 years and under,8396
E05013635,East Barnet,Work mainly at or from home,3507
E05013635,East Barnet,"Underground, metro, light rail, tram",585
E05013635,East Barnet,Train,332
E05013635,East Barnet,"Bus, minibus or coach",473
E05013635,East Barnet,Taxi,40
E05013635,East Barnet,"Motorcycle, scooter or moped",47
E05013635,East Barnet,Driving a car or van,2807
E05013635,East Barnet,Passenger in a car or van,149
E05013635,East Barnet,Bicycle,80
E05013635,East Barnet,On foot,388
E05013635,East Barnet,Other method of travel to work,125
E05013635,East Barnet,Not in employment or aged 15 years and under,9552
E05013650,Whetstone,Work mainly at or from home,2715
E05013650,Whetstone,"Underground, metro, light rail, tram",505
E05013650,Whetstone,Train,101
E05013650,Whetstone,"Bus, minibus or coach",313
E05013650,Whetstone,Taxi,17
E05013650,Whetstone,"Motorcycle, scooter or moped",32
E05013650,Whetstone,Driving a car or van,1344
E05013650,Whetstone,Passenger in a car or van,98
E05013650,Whetstone,Bicycle,45
E05013650,Whetstone,On foot,189
E05013650,Whetstone,Other method of travel to work,56
E05013650,Whetstone,Not in employment or aged 15 years and under,5487
E05013632,Colindale North,Work mainly at or from home,1652
E05013632,Colindale North,"Underground, metro, light rail, tram",879
E05013632,Colindale North,Train,206
E05013632,Colindale North,"Bus, minibus or coach",669
E05013632,Colindale North,Taxi,29
E05013632,Colindale North,"Motorcycle, scooter or moped",57
E05013632,Colindale North,Driving a car or van,1538
E05013632,Colindale North,Passenger in a car or van,130
E05013632,Colindale North,Bicycle,57
E05013632,Colindale North,On foot,309
E05013632,Colindale North,Other method of travel to work,103
E05013632,Colindale North,Not in employment or aged 15 years and under,7093
E05013630,Burnt Oak,Work mainly at or from home,2201
E05013630,Burnt Oak,"Underground, metro, light rail, tram",1478
E05013630,Burnt Oak,Train,391
E05013630,Burnt Oak,"Bus, minibus or coach",1268
E05013630,Burnt Oak,Taxi,59
