gss_code_ward,ward_name,category,count_21
E05013641,Garden Suburb,Main language is not English (English or Welsh in Wales): Can speak English very well,974
E05013641,Garden Suburb,Main language is not English (English or Welsh in Wales): Can speak English well,462
E05013641,Garden Suburb,Main language is not English (English or Welsh in Wales): Cannot speak English well,192
E05013641,Garden Suburb,Main language is not English (English or Welsh in Wales): Cannot speak English,30
E05013638,Edgwarebury,Main language is English (English or Welsh in Wales),9799
E05013638,Edgwarebury,Main language is not English (English or Welsh in Wales): Can speak English very well,923
E05013638,Edgwarebury,Main language is not English (English or Welsh in Wales): Can speak English well,830
E05013638,Edgwarebury,Main language is not English (English or Welsh in Wales): Cannot speak English well,330
E05013638,Edgwarebury,Main language is not English (English or Welsh in Wales): Cannot speak English,44
E05013637,Edgware,Main language is English (English or Welsh in Wales),14971
E05013637,Edgware,Main language is not English (English or Welsh in Wales): Can speak English very well,1836
E05013637,Edgware,Main language is not English (English or Welsh in Wales): Can speak English well,1540
E05013637,Edgware,Main language is not English (English or Welsh in Wales): Cannot speak English well,596
E05013637,Edgware,Main language is not English (English or Welsh in Wales): Cannot speak English,103
E05013639,Finchley Church End,Main language is English (English or Welsh in Wales),14348
E05013639,Finchley Church End,Main language is not English (English or Welsh in Wales): Can speak English very well,1849
E05013639,Finchley Church End,Main language is not English (English or Welsh in Wales): Can speak English well,1321
E05013639,Finchley Church End,Main language is not English (English or Welsh in Wales): Cannot speak English well,609
E05013639,Finchley Church End,Main language is not English (English or Welsh in Wales): Cannot speak English,76
E05013642,Golders Green,Main language is English (English or Welsh in Wales),11577
E05013642,Golders Green,Main language is not English (English or Welsh in Wales): Can speak English very well,1262
E05013642,Golders Green,Main language is not English (English or Welsh in Wales): Can speak English well,981
E05013642,Golders Green,Main language is not English (English or Welsh in Wales): Cannot speak English well,433
E05013642,Golders Green,Main language is not English (English or Welsh in Wales): Cannot speak English,54
E05013645,Mill Hill,Main language is English (English or Welsh in Wales),14026
E05013645,Mill Hill,Main language is not English (English or Welsh in Wales): Can speak English very well,1500
E05013645,Mill Hill,Main language is not English (English or Welsh in Wales): Can speak English well,1130
E05013645,Mill Hill,Main language is not English (English or Welsh in Wales): Cannot speak English well,446
E05013645,Mill Hill,Main language is not English (English or Welsh in Wales): Cannot speak English,59
E05013643,Hendon,Main language is English (English or Welsh in Wales),15403
E05013643,Hendon,Main language is not English (English or Welsh in Wales): Can speak English very well,2447
E05013643,Hendon,Main language is not English (English or Welsh in Wales): Can speak English well,2197
E05013643,Hendon,Main language is not English (English or Welsh in Wales): Cannot speak English well,904
E05013643,Hendon,Main language is not English (English or Welsh in Wales): Cannot speak English,97
E05013628,Barnet Vale,Main language is English (English or Welsh in Wales),14086
E05013628,Barnet Vale,Main language is not English (English or Welsh in Wales): Can speak English very well,1123
E05013628,Barnet Vale,Main language is not English (English or Welsh in Wales): Can speak English well,900
E05013628,Barnet Vale,Main language is not English (English or Welsh in Wales): Cannot speak English well,351
E05013628,Barnet Vale,Main language is not English (English or Welsh in Wales): Cannot speak English,55
E05013644,High Barnet,Main language is English (English or Welsh in Wales),10228
E05013644,High Barnet,Main language is not English (English or Welsh in Wales): Can speak English very well,792
E05013644,High Barnet,Main language is not English (English or Welsh in Wales): Can speak English well,426
E05013644,High Barnet,Main language is not English (English or Welsh in Wales): Cannot speak English well,164
E05013644,High Barnet,Main language is not English (English or Welsh in Wales): Cannot speak English,35
E05013647,Underhill,Main language is English (English or Welsh in Wales),10087
E05013647,Underhill,Main language is not English (English or Welsh in Wales): Can speak English very well,921
E05013647,Underhill,Main language is not English (English or Welsh in Wales): Can speak English well,642
E05013647,Underhill,Main language is not English (English or Welsh in Wales): Cannot speak English well,229
E05013647,Underhill,Main language is not English (English or Welsh in Wales): Cannot speak English,46
E05013646,Totteridge & Woodside,Main language is English (English or Welsh in Wales),11731
E05013646,Totteridge & Woodside,Main language is not English (English or Welsh in Wales): Can speak English very well,1393
E05013646,Totteridge & Woodside,Main language is not English (English or Welsh in Wales): Can speak English well,867
E05013646,Totteridge & Woodside,Main language is not English (English or Welsh in Wales): Cannot speak English well,374
E05013646,Totteridge & Woodside,Main language is not English (English or Welsh in Wales): Cannot speak English,58
E05013648,West Finchley,Main language is English (English or Welsh in Wales),13464
E05013648,West Finchley,Main language is not English (English or Welsh in Wales): Can speak English very well,2412
E05013648,West Finchley,Main language is not English (English or Welsh in Wales): Can speak English well,1801
E05013648,West Finchley,Main language is not English (English or Welsh in Wales): Cannot speak English well,829
E05013648,West Finchley,Main language is not English (English or Welsh in Wales): Cannot speak English,144
E05013649,West Hendon,Main language is English (English or Welsh in Wales),10451
E05013649,West Hendon,Main language is not English (English or Welsh in Wales): Can speak English very well,2479
E05013649,West Hendon,Main language is not English (English or Welsh in Wales): Can speak English well,2536
E05013649,West Hendon,Main language is not English (English or Welsh in Wales): Cannot speak English well,979
E05013649,West Hendon,Main language is not English (English or Welsh in Wales): Cannot speak English,145
E05011222,Crayford,Main language is English (English or Welsh in Wales),14074
E05011222,Crayford,Main language is not English (English or Welsh in Wales): Can speak English very well,645
E05011222,Crayford,Main language is not English (English or Welsh in Wales): Can speak English well,447
E05011222,Crayford,Main language is not English (English or Welsh in Wales): Cannot speak English well,171
E05011222,Crayford,Main language is not English (English or Welsh in Wales): Cannot speak English,24
E05011217,Barnehurst,Main language is English (English or Welsh in Wales),10474
E05011217,Barnehurst,Main language is not English (English or Welsh in Wales): Can speak English very well,384
E05011217,Barnehurst,Main language is not English (English or Welsh in Wales): Can speak English well,296
E05011217,Barnehurst,Main language is not English (English or Welsh in Wales): Cannot speak English well,105
E05011217,Barnehurst,Main language is not English (English or Welsh in Wales): Cannot speak English,17
E05011219,Bexleyheath,Main language is English (English or Welsh in Wales),13997
E05011219,Bexleyheath,Main language is not English (English or Welsh in Wales): Can speak English very well,710
E05011219,Bexleyheath,Main language is not English (English or Welsh in Wales): Can speak English well,467
E05011219,Bexleyheath,Main language is not English (English or Welsh in Wales): Cannot speak English well,184
E05011219,Bexleyheath,Main language is not English (English or Welsh in Wales): Cannot speak English,32
E05011218,Belvedere,Main language is English (English or Welsh in Wales),14055
E05011218,Belvedere,Main language is not English (English or Welsh in Wales): Can speak English very well,1180
E05011218,Belvedere,Main language is not English (English or Welsh in Wales): Can speak English well,1072
E05011218,Belvedere,Main language is not English (English or Welsh in Wales): Cannot speak English well,489
E05011218,Belvedere,Main language is not English (English or Welsh in Wales): Cannot speak English,77
E05011233,West Heath,Main language is English (English or Welsh in Wales),13828
E05011233,West Heath,Main language is not English (English or Welsh in Wales): Can speak English very well,720
E05011233,West Heath,Main language is not English (English or Welsh in Wales): Can speak English well,415
E05011233,West Heath,Main language is not English (English or Welsh in Wales): Cannot speak English well,193
E05011233,West Heath,Main language is not English (English or Welsh in Wales): Cannot speak English,37
E05011220,Blackfen & Lamorbey,Main language is English (English or Welsh in Wales),14756
E05011220,Blackfen & Lamorbey,Main language is not English (English or Welsh in Wales): Can speak English very well,458
E05011220,Blackfen & Lamorbey,Main language is not English (English or Welsh in Wales): Can speak English well,263
E05011220,Blackfen & Lamorbey,Main language is not English (English or Welsh in Wales): Cannot speak English well,103
E05011220,Blackfen & Lamorbey,Main language is not English (English or Welsh in Wales): Cannot speak English,22
E05011221,Blendon & Penhill,Main language is English (English or Welsh in Wales),14337
E05011221,Blendon & Penhill,Main language is not English (English or Welsh in Wales): Can speak English very well,383
E05011221,Blendon & Penhill,Main language is not English (English or Welsh in Wales): Can speak English well,173
E05011221,Blendon & Penhill,Main language is not English (English or Welsh in Wales): Cannot speak English well,96
E05011221,Blendon & Penhill,Main language is not English (English or Welsh in Wales): Cannot speak English,20
E05011223,Crook Log,Main language is English (English or Welsh in Wales),13936
E05011223,Crook Log,Main language is not English (English or Welsh in Wales): Can speak English very well,820
E05011223,Crook Log,Main language is not English (English or Welsh in Wales): Can speak English well,391
E05011223,Crook Log,Main language is not English (English or Welsh in Wales): Cannot speak English well,193
E05011223,Crook Log,Main language is not English (English or Welsh in Wales): Cannot speak English,28
E05011228,Northumberland Heath,Main language is English (English or Welsh in Wales),9759
E05011228,Northumberland Heath,Main language is not English (English or Welsh in Wales): Can speak English very well,406
E05011228,Northumberland Heath,Main language is not English (English or Welsh in Wales): Can speak English well,344
E05011228,Northumberland Heath,Main language is not English (English or Welsh in Wales): Cannot speak English well,141
E05011228,Northumberland Heath,Main language is not English (English or Welsh in Wales): Cannot speak English,21
E05011231,Slade Green & Northend,Main language is English (English or Welsh in Wales),11093
E05011231,Slade Green & Northend,Main language is not English (English or Welsh in Wales): Can speak English very well,615
E05011231,Slade Green & Northend,Main language is not English (English or Welsh in Wales): Can speak English well,433
E05011231,Slade Green & Northend,Main language is not English (English or Welsh in Wales): Cannot speak English well,169
E05011231,Slade Green & Northend,Main language is not English (English or Welsh in Wales): Cannot speak English,21
E05011225,Erith,Main language is English (English or Welsh in Wales),10474
E05011225,Erith,Main language is not English (English or Welsh in Wales): Can speak English very well,743
E05011225,Erith,Main language is not English (English or Welsh in Wales): Can speak English well,597
E05011225,Erith,Main language is not English (English or Welsh in Wales): Cannot speak English well,239
E05011225,Erith,Main language is not English (English or Welsh in Wales): Cannot speak English,40
E05011230,Sidcup,Main language is English (English or Welsh in Wales),14181
E05011230,Sidcup,Main language is not English (English or Welsh in Wales): Can speak English very well,544
E05011230,Sidcup,Main language is not English (English or Welsh in Wales): Can speak English well,333
E05011230,Sidcup,Main language is not English (English or Welsh in Wales): Cannot speak English well,137
E05011230,Sidcup,Main language is not English (English or Welsh in Wales): Cannot speak English,21
E05011229,St. Mary's & St. James,Main language is English (English or Welsh in Wales),9985
E05011229,St. Mary's & St. James,Main language is not English (English or Welsh in Wales): Can speak English very well,276
E05011229,St. Mary's & St. James,Main language is not English (English or Welsh in Wales): Can speak English well,151
E05011229,St. Mary's & St. James,Main language is not English (English or Welsh in Wales): Cannot speak English well,62
E05011229,St. Mary's & St. James,Main language is not English (English or Welsh in Wales): Cannot speak English,12
E05011226,Falconwood & Welling,Main language is English (English or Welsh in Wales),14141
E05011226,Falconwood & Welling,Main language is not English (English or Welsh in Wales): Can speak English very well,990
E05011226,Falconwood & Welling,Main language is not English (English or Welsh in Wales): Can speak English well,634
E05011226,Falconwood & Welling,Main language is not English (English or Welsh in Wales): Cannot speak English well,276
E05011226,Falconwood & Welling,Main language is not English (English or Welsh in Wales): Cannot speak English,38
E05011224,East Wickham,Main language is English (English or Welsh in Wales),13523
E05011224,East Wickham,Main language is not English (English or Welsh in Wales): Can speak English very well,1054
E05011224,East Wickham,Main language is not English (English or Welsh in Wales): Can speak English well,694
E05011224,East Wickham,Main language is not English (English or Welsh in Wales): Cannot speak English well,314
E05011224,East Wickham,Main language is not English (English or Welsh in Wales): Cannot speak English,67
E05011232,Thamesmead East,Main language is English (English or Welsh in Wales),13188
E05011232,Thamesmead East,Main language is not English (English or Welsh in Wales): Can speak English very well,916
E05011232,Thamesmead East,Main language is not English (English or Welsh in Wales): Can speak English well,760
E05011232,Thamesmead East,Main language is not English (English or Welsh in Wales): Cannot speak English well,403
E05011232,Thamesmead East,Main language is not English (English or Welsh in Wales): Cannot speak English,82
E05011227,Longlands,Main language is English (English or Welsh in Wales),9175
E05011227,Longlands,Main language is not English (English or Welsh in Wales): Can speak English very well,295
E05011227,Longlands,Main language is not English (English or Welsh in Wales): Can speak English well,177
E05011227,Longlands,Main language is not English (English or Welsh in Wales): Cannot speak English well,45
E05011227,Longlands,Main language is not English (English or Welsh in Wales): Cannot speak English,6
E05013496,Alperton,Main language is English (English or Welsh in Wales),7236
E05013514,Wembley Central,Main language is English (English or Welsh in Wales),8988
E05013496,Alperton,Main language is not English (English or Welsh in Wales): Can speak English very well,2320
E05013514,Wembley Central,Main language is not English (English or Welsh in Wales): Can speak English very well,2787
E05013496,Alperton,Main language is not English (English or Welsh in Wales): Can speak English well,2674
E05013514,Wembley Central,Main language is not English (English or Welsh in Wales): Can speak English well,3129
E05013496,Alperton,Main language is not English (English or Welsh in Wales): Cannot speak English well,1737
E05013514,Wembley Central,Main language is not English (English or Welsh in Wales): Cannot speak English well,1860
E05013496,Alperton,Main language is not English (English or Welsh in Wales): Cannot speak English,501
E05013514,Wembley Central,Main language is not English (English or Welsh in Wales): Cannot speak English,594
E05013502,Kenton,Main language is English (English or Welsh in Wales),11171
E05013502,Kenton,Main language is not English (English or Welsh in Wales): Can speak English very well,2606
E05013502,Kenton,Main language is not English (English or Welsh in Wales): Can speak English well,2211
E05013502,Kenton,Main language is not English (English or Welsh in Wales): Cannot speak English well,975
E05013502,Kenton,Main language is not English (English or Welsh in Wales): Cannot speak English,180
E05013497,Barnhill,Main language is English (English or Welsh in Wales),7486
E05013497,Barnhill,Main language is not English (English or Welsh in Wales): Can speak English very well,1398
E05013497,Barnhill,Main language is not English (English or Welsh in Wales): Can speak English well,1438
E05013497,Barnhill,Main language is not English (English or Welsh in Wales): Cannot speak English well,638
E05013497,Barnhill,Main language is not English (English or Welsh in Wales): Cannot speak English,93
E05013513,Welsh Harp,Main language is English (English or Welsh in Wales),11085
E05013513,Welsh Harp,Main language is not English (English or Welsh in Wales): Can speak English very well,2199
E05013513,Welsh Harp,Main language is not English (English or Welsh in Wales): Can speak English well,2803
E05013513,Welsh Harp,Main language is not English (English or Welsh in Wales): Cannot speak English well,1251
