ward22cd,ward_name,lad22cd,lad22nm,Simpson's 2011,Simpson's standardised 2011,Simpson's 2021,Simpson's standardised 2021,Simpson's change,Simpson's standardised change
E05011117,Surrey Docks,E09000028,Southwark,2.71163217562315,0.631218419301212,2.93540068705875,0.659331005675415,0.223768511435595,0.0281125863742024
E05011217,Barnehurst,E09000004,Bexley,2.16285881236372,0.53764896983399,2.58556939498623,0.613237996265297,0.422710582622515,0.0755890264313069
E05011218,Belvedere,E09000004,Bexley,2.5207730320102,0.60329629550085,2.87533384920449,0.652214298427757,0.354560817194286,0.0489180029269071
E05011219,Bexleyheath,E09000004,Bexley,2.13722274403514,0.532103051593037,2.72341179135534,0.632813516055778,0.586189047320195,0.100710464462741
E05011220,Blackfen & Lamorbey,E09000004,Bexley,2.11319917919719,0.526783840423455,2.53100307431754,0.60489972922311,0.417803895120349,0.0781158887996551
E05011221,Blendon & Penhill,E09000004,Bexley,2.0919030175259,0.521966366690028,2.55749900941712,0.608993005933594,0.465595991891224,0.0870266392435662
E05011222,Crayford,E09000004,Bexley,2.16528405891836,0.538166830406753,2.5435161318544,0.606843460721072,0.378232072936039,0.0686766303143195
E05011223,Crook Log,E09000004,Bexley,2.29940264086923,0.565104439637429,2.91405111629444,0.656835120561778,0.614648475425212,0.0917306809243486
E05011224,East Wickham,E09000004,Bexley,2.2636998857578,0.558245328238271,3.02999824357063,0.66996680538614,0.766298357812834,0.111721477147869
E05011225,Erith,E09000004,Bexley,2.3864013238106,0.580958998797736,2.74131147132027,0.635211098606617,0.354910147509667,0.0542520998088805
E05011226,Falconwood & Welling,E09000004,Bexley,2.27710224706037,0.560845367707597,2.90478629866719,0.655740595974708,0.627684051606817,0.0948952282671108
E05011227,Longlands,E09000004,Bexley,2.07845843173935,0.518874188326608,2.47263107815006,0.595572502167138,0.394172646410711,0.0766983138405304
E05011228,Northumberland Heath,E09000004,Bexley,2.33794347104943,0.572273661710422,2.74469878099466,0.635661294811518,0.406755309945232,0.063387633101096
E05011229,St Mary's & St James,E09000004,Bexley,2.02100751671251,0.505197288119612,2.42043169246231,0.586850559297256,0.399424175749804,0.0816532711776444
E05011230,Sidcup,E09000004,Bexley,2.17855345374185,0.540979819300548,2.56720336163702,0.610471061644944,0.388649907895174,0.0694912423443963
E05011231,Slade Green & Northend,E09000004,Bexley,2.26998171971712,0.559467818038368,2.5425174923905,0.606689038327997,0.272535772673384,0.0472212202896286
E05011232,Thamesmead East,E09000004,Bexley,2.23633110979884,0.552839024767692,2.3733160167107,0.57864861107458,0.13698490691186,0.0258095863068876
E05011233,West Heath,E09000004,Bexley,2.17558978114112,0.540354524245149,2.79471652646056,0.64218195636948,0.619126745319441,0.101827432124331
E05011234,Aldborough,E09000026,Redbridge,4.65663012628262,0.785252430860705,4.56404976706513,0.780896341837429,-0.0925803592174876,-0.00435608902327589
E05011235,Barkingside,E09000026,Redbridge,5.50250206795152,0.818264493561148,4.74884489279767,0.789422475870575,-0.753657175153852,-0.0288420176905736
E05011236,Bridge,E09000026,Redbridge,2.6121897192595,0.617179413644014,3.2996149968296,0.696934339018086,0.687425277570104,0.079754925374072
E05011237,Chadwell,E09000026,Redbridge,3.48253462834754,0.712852819363206,3.89736995242882,0.743416711216546,0.414835324081276,0.0305638918533397
E05011238,Churchfields,E09000026,Redbridge,2.9535532812162,0.661424763738061,3.63270790033688,0.724723256745398,0.679154619120678,0.0632984930073367
E05011239,Clayhall,E09000026,Redbridge,5.51032930350562,0.818522642673314,4.49912358207644,0.777734489449503,-1.01120572142918,-0.0407881532238109
E05011240,Clementswood,E09000026,Redbridge,3.38450711511723,0.704536003031756,3.0132415166301,0.668131480838495,-0.371265598487126,-0.036404522193261
E05011241,Cranbrook,E09000026,Redbridge,4.60626229837772,0.782904243131749,3.613291780971,0.72324404985327,-0.992970517406718,-0.0596601932784791
E05011242,Fairlop,E09000026,Redbridge,3.62805334636932,0.724370094778038,4.28367868252761,0.766555786716957,0.655625336158287,0.0421856919389187
E05011243,Fullwell,E09000026,Redbridge,4.38202968624059,0.77179524749913,4.75594408857035,0.789736804853692,0.37391440232976,0.0179415573545615
E05011244,Goodmayes,E09000026,Redbridge,4.32583757233983,0.768830894993798,3.70685170783827,0.730229294609907,-0.618985864501565,-0.038601600383891
E05011245,Hainault,E09000026,Redbridge,2.74711218337169,0.635981374895057,3.44103680985064,0.709389914941536,0.693924626478951,0.0734085400464791
E05011246,Ilford Town,E09000026,Redbridge,3.9759470910066,0.74848759877566,3.61323629309789,0.723239799757843,-0.36271079790871,-0.0252477990178166
