lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000007,Camden,E01000951,"2 years or more, but less than 5 years",61,88,-27
E09000007,Camden,E01000951,"5 years or more, but less than 10 years",48,87,-39
E09000007,Camden,E01000951,Born in the UK,816,883,-67
E09000007,Camden,E01000951,Less than 2 years,133,76,57
E09000007,Camden,E01000952,10 years or more,435,441,-6
E09000007,Camden,E01000952,"2 years or more, but less than 5 years",87,59,28
E09000007,Camden,E01000952,"5 years or more, but less than 10 years",59,92,-33
E09000007,Camden,E01000952,Born in the UK,1010,1033,-23
E09000007,Camden,E01000952,Less than 2 years,101,104,-3
E09000007,Camden,E01000954,10 years or more,524,414,110
E09000007,Camden,E01000954,"2 years or more, but less than 5 years",45,62,-17
E09000007,Camden,E01000954,"5 years or more, but less than 10 years",54,94,-40
E09000007,Camden,E01000954,Born in the UK,1059,1011,48
E09000007,Camden,E01000954,Less than 2 years,69,75,-6
E09000007,Camden,E01000955,10 years or more,379,387,-8
E09000007,Camden,E01000955,"2 years or more, but less than 5 years",40,76,-36
E09000007,Camden,E01000955,"5 years or more, but less than 10 years",47,70,-23
E09000007,Camden,E01000955,Born in the UK,788,973,-185
E09000007,Camden,E01000955,Less than 2 years,96,89,7
E09000007,Camden,E01000956,10 years or more,426,404,22
E09000007,Camden,E01000956,"2 years or more, but less than 5 years",105,101,4
E09000007,Camden,E01000956,"5 years or more, but less than 10 years",81,135,-54
E09000007,Camden,E01000956,Born in the UK,765,781,-16
E09000007,Camden,E01000956,Less than 2 years,127,111,16
E09000007,Camden,E01000957,10 years or more,349,401,-52
E09000007,Camden,E01000957,"2 years or more, but less than 5 years",87,113,-26
E09000007,Camden,E01000957,"5 years or more, but less than 10 years",106,144,-38
E09000007,Camden,E01000957,Born in the UK,700,958,-258
E09000007,Camden,E01000957,Less than 2 years,79,113,-34
E09000007,Camden,E01000958,10 years or more,578,467,111
E09000007,Camden,E01000958,"2 years or more, but less than 5 years",212,143,69
E09000007,Camden,E01000958,"5 years or more, but less than 10 years",155,186,-31
E09000007,Camden,E01000958,Born in the UK,1486,1278,208
E09000007,Camden,E01000958,Less than 2 years,507,190,317
E09000007,Camden,E01000959,10 years or more,433,396,37
E09000007,Camden,E01000959,"2 years or more, but less than 5 years",95,89,6
E09000007,Camden,E01000959,"5 years or more, but less than 10 years",57,75,-18
E09000007,Camden,E01000959,Born in the UK,958,1028,-70
E09000007,Camden,E01000959,Less than 2 years,149,82,67
E09000007,Camden,E01000960,10 years or more,474,377,97
E09000007,Camden,E01000960,"2 years or more, but less than 5 years",172,204,-32
E09000007,Camden,E01000960,"5 years or more, but less than 10 years",186,194,-8
E09000007,Camden,E01000960,Born in the UK,849,826,23
E09000007,Camden,E01000960,Less than 2 years,186,173,13
E09000007,Camden,E01000961,10 years or more,526,420,106
E09000007,Camden,E01000961,"2 years or more, but less than 5 years",127,114,13
E09000007,Camden,E01000961,"5 years or more, but less than 10 years",152,117,35
E09000007,Camden,E01000961,Born in the UK,877,815,62
E09000007,Camden,E01000961,Less than 2 years,110,125,-15
E09000007,Camden,E01000962,10 years or more,382,297,85
E09000007,Camden,E01000962,"2 years or more, but less than 5 years",181,175,6
E09000007,Camden,E01000962,"5 years or more, but less than 10 years",159,175,-16
E09000007,Camden,E01000962,Born in the UK,703,787,-84
E09000007,Camden,E01000962,Less than 2 years,118,158,-40
E09000007,Camden,E01000963,10 years or more,438,436,2
E09000007,Camden,E01000963,"2 years or more, but less than 5 years",304,268,36
E09000007,Camden,E01000963,"5 years or more, but less than 10 years",193,197,-4
E09000007,Camden,E01000963,Born in the UK,640,612,28
E09000007,Camden,E01000963,Less than 2 years,347,410,-63
E09000007,Camden,E01000964,10 years or more,442,364,78
E09000007,Camden,E01000964,"2 years or more, but less than 5 years",124,132,-8
E09000007,Camden,E01000964,"5 years or more, but less than 10 years",161,127,34
E09000007,Camden,E01000964,Born in the UK,923,840,83
E09000007,Camden,E01000964,Less than 2 years,83,114,-31
E09000007,Camden,E01000965,10 years or more,407,294,113
E09000007,Camden,E01000965,"2 years or more, but less than 5 years",143,127,16
E09000007,Camden,E01000965,"5 years or more, but less than 10 years",181,125,56
E09000007,Camden,E01000965,Born in the UK,873,870,3
E09000007,Camden,E01000965,Less than 2 years,112,106,6
E09000007,Camden,E01000966,10 years or more,371,301,70
E09000007,Camden,E01000966,"2 years or more, but less than 5 years",172,153,19
E09000007,Camden,E01000966,"5 years or more, but less than 10 years",187,151,36
E09000007,Camden,E01000966,Born in the UK,782,793,-11
E09000007,Camden,E01000966,Less than 2 years,101,114,-13
E09000007,Camden,E01000967,10 years or more,396,344,52
E09000007,Camden,E01000967,"2 years or more, but less than 5 years",123,102,21
E09000007,Camden,E01000967,"5 years or more, but less than 10 years",116,106,10
E09000007,Camden,E01000967,Born in the UK,774,753,21
E09000007,Camden,E01000967,Less than 2 years,132,104,28
E09000007,Camden,E01000968,10 years or more,302,283,19
E09000007,Camden,E01000968,"2 years or more, but less than 5 years",134,134,0
E09000007,Camden,E01000968,"5 years or more, but less than 10 years",152,107,45
E09000007,Camden,E01000968,Born in the UK,783,901,-118
E09000007,Camden,E01000968,Less than 2 years,94,80,14
E09000007,Camden,E01000969,10 years or more,436,389,47
E09000007,Camden,E01000969,"2 years or more, but less than 5 years",174,194,-20
E09000007,Camden,E01000969,"5 years or more, but less than 10 years",205,220,-15
E09000007,Camden,E01000969,Born in the UK,892,1031,-139
E09000007,Camden,E01000969,Less than 2 years,123,198,-75
E09000007,Camden,E01000970,10 years or more,298,242,56
E09000007,Camden,E01000970,"2 years or more, but less than 5 years",121,130,-9
E09000007,Camden,E01000970,"5 years or more, but less than 10 years",152,120,32
E09000007,Camden,E01000970,Born in the UK,748,855,-107
E09000007,Camden,E01000970,Less than 2 years,91,97,-6
E09000007,Camden,E01000971,10 years or more,269,278,-9
E09000007,Camden,E01000971,"2 years or more, but less than 5 years",82,107,-25
E09000007,Camden,E01000971,"5 years or more, but less than 10 years",106,77,29
E09000007,Camden,E01000971,Born in the UK,804,958,-154
E09000007,Camden,E01000971,Less than 2 years,61,58,3
E09000007,Camden,E01000972,10 years or more,527,486,41
E09000007,Camden,E01000972,"2 years or more, but less than 5 years",156,148,8
E09000007,Camden,E01000972,"5 years or more, but less than 10 years",134,149,-15
E09000007,Camden,E01000972,Born in the UK,991,1041,-50
E09000007,Camden,E01000972,Less than 2 years,149,185,-36
E09000007,Camden,E01000973,10 years or more,547,380,167
E09000007,Camden,E01000973,"2 years or more, but less than 5 years",247,156,91
E09000007,Camden,E01000973,"5 years or more, but less than 10 years",222,164,58
E09000007,Camden,E01000973,Born in the UK,1334,1068,266
E09000007,Camden,E01000973,Less than 2 years,211,117,94
E09000007,Camden,E01000974,10 years or more,376,393,-17
E09000007,Camden,E01000974,"2 years or more, but less than 5 years",117,121,-4
E09000007,Camden,E01000974,"5 years or more, but less than 10 years",168,125,43
E09000007,Camden,E01000974,Born in the UK,855,986,-131
E09000007,Camden,E01000974,Less than 2 years,76,82,-6
E09000008,Croydon,E01000975,10 years or more,526,297,229
E09000008,Croydon,E01000975,"2 years or more, but less than 5 years",180,100,80
E09000008,Croydon,E01000975,"5 years or more, but less than 10 years",228,156,72
E09000008,Croydon,E01000975,Born in the UK,1299,955,344
E09000008,Croydon,E01000975,Less than 2 years,113,105,8
E09000008,Croydon,E01000976,10 years or more,517,346,171
E09000008,Croydon,E01000976,"2 years or more, but less than 5 years",129,159,-30
E09000008,Croydon,E01000976,"5 years or more, but less than 10 years",237,180,57
E09000008,Croydon,E01000976,Born in the UK,1183,1077,106
E09000008,Croydon,E01000976,Less than 2 years,73,105,-32
E09000008,Croydon,E01000977,10 years or more,451,308,143
E09000008,Croydon,E01000977,"2 years or more, but less than 5 years",115,154,-39
